trades,win_rate,profit_factor,avg_trade,median_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,family,param
68,0.75,3.291018074525273,0.048461137326593705,0.04362563129968766,12.835005500065233,0.5507954032682452,1.147860550742891,-0.4884931582236043,1.1275396471696795,0.11920529801324503,1383500.5500065233,RVOL50_min,0.75
59,0.7457627118644068,3.206817380645823,0.04841472096178967,0.03918601630273222,10.130423566108572,0.4954692977401074,1.085535438796959,-0.4884931582236043,1.0142809359743579,0.10397350993377484,1113042.3566108572,RVOL50_min,1
48,0.7083333333333334,2.84291707988738,0.04767944637515866,0.02988537168749117,5.50952876082218,0.36732132357834635,0.916572740409563,-0.4884931582236042,0.7519477343635746,0.08410596026490066,650952.876082218,RVOL50_min,1.25
33,0.696969696969697,2.8898068205388,0.0539315629478423,0.05584319526627235,3.151468335744002,0.2683690175416722,0.7839467836786176,-0.4884931582236043,0.5493813230006963,0.059602649006622516,415146.83357440017,RVOL50_min,1.5
19,0.7368421052631579,2.789192684351638,0.05205808382083439,0.09200507614213205,1.2858428384283633,0.148058956378462,0.5999590789292427,-0.4689923211371705,0.3156959073859929,0.0390728476821192,228584.28384283633,RVOL50_min,2
8,0.5,0.46498978226280724,-0.03458756266430317,-0.01492373074724257,-0.2855177569977926,-0.054600935027709574,-0.3387071663333015,-0.31780049587074677,-0.1718088415126842,0.016556291390728478,71448.22430022074,RVOL50_max,0.75
18,0.6111111111111112,1.2298614229620104,0.008559187288826906,0.0384144548493639,-0.11917758089240627,-0.02097038996112255,-0.028676306119837344,-0.3273394604796215,-0.06406312862615615,0.031125827814569535,88082.24191075937,RVOL50_max,1
29,0.7241379310344828,2.083986521438329,0.02510624540910138,0.04212328048836844,0.523763636609631,0.07287468121674179,0.42517973094953415,-0.32924652068570226,0.22133774129175304,0.051655629139072845,152376.3636609631,RVOL50_max,1.25
45,0.7777777777777778,2.595874727603192,0.03221343247326868,0.03942401513882188,1.9490288979283057,0.19795611206762342,0.7247311033024435,-0.3547026517547679,0.5580903077219876,0.0814569536423841,294902.88979283057,RVOL50_max,1.5
57,0.7192982456140351,2.424329164970335,0.03469286733197364,0.02089066797642425,3.120617465410356,0.266789948984536,0.7837714291403228,-0.3547026517547679,0.7521509852398498,0.09801324503311258,412061.7465410356,RVOL50_max,2
65,0.7538461538461538,3.2871310317751212,0.048828591469872284,0.04212328048836844,11.372389134195751,0.5221247099659876,1.1138663072253971,-0.4884931582236043,1.0688475389597754,0.1152317880794702,1237238.9134195752,VOLZ50_min,-0.5
59,0.7457627118644068,3.206817380645823,0.04841472096178967,0.03918601630273222,10.130423566108572,0.4954692977401074,1.085535438796959,-0.4884931582236043,1.0142809359743579,0.10397350993377484,1113042.3566108572,VOLZ50_min,0
51,0.7254901960784313,2.9074791458340847,0.0464468503321152,0.02089066797642425,6.044302637314992,0.38546987804908395,0.9351869174480945,-0.4884931582236042,0.7890998503455763,0.08940397350993377,704430.2637314992,VOLZ50_min,0.5
43,0.7209302325581395,2.6478699773889796,0.04103019195158463,0.04910260751777851,3.357221200231904,0.278657240954409,0.7897731727491968,-0.4884931582236043,0.5704424642665223,0.07682119205298013,435722.1200231904,VOLZ50_min,1
30,0.6666666666666666,2.08670167413404,0.03678683044900559,0.03484366729501431,1.3320649371230244,0.15190381834793154,0.5739724466956396,-0.4689923211371704,0.32389404154765017,0.05562913907284768,233206.49371230244,VOLZ50_min,1.5
24,0.7083333333333334,1.9874551230545139,0.03634573376922975,0.06784437085513251,0.9254839128355614,0.11563182485766643,0.5011741621306268,-0.4689923211371705,0.24655376995788067,0.046357615894039736,192548.39128355615,VOLZ50_min,2
