dt,time,timestamp,price,open,high,low,close,volume,vwap
2026-08-27 14:25:00-04:00,2026-08-27T14:25:00,1787855100,119.46000000000001,119.97,119.97,118.95,119.2464,443109,119.379388
2026-08-27 14:30:00-04:00,2026-08-27T14:30:00,1787855400,119.64945,119.28,120.0989,119.2,119.5011,386590,119.651413
2026-08-27 14:35:00-04:00,2026-08-27T14:35:00,1787855700,119.71000000000001,119.49,120.05,119.37,120.02,203072,119.727263
2026-08-27 14:40:00-04:00,2026-08-27T14:40:00,1787856000,120.00005,120.02,120.19,119.8101,120.09,165378,119.992135
2026-08-27 14:45:00-04:00,2026-08-27T14:45:00,1787856300,119.92,120.1,120.19,119.65,119.66,184727,119.995924
2026-08-27 14:50:00-04:00,2026-08-27T14:50:00,1787856600,119.75999999999999,119.67,119.96,119.56,119.9,157711,119.772468
2026-08-27 14:55:00-04:00,2026-08-27T14:55:00,1787856900,119.825,119.86,120.15,119.5,119.985,159388,119.877405
2026-08-27 15:00:00-04:00,2026-08-27T15:00:00,1787857200,120.16499999999999,120.01,120.48,119.85,120.35,263665,120.17357
2026-08-27 15:05:00-04:00,2026-08-27T15:05:00,1787857500,120.1388,120.36,120.5475,119.7301,120.32,278364,120.193038
2026-08-27 15:10:00-04:00,2026-08-27T15:10:00,1787857800,120.35,120.34,120.5,120.2,120.235,234874,120.379748
2026-08-27 15:15:00-04:00,2026-08-27T15:15:00,1787858100,120.45500000000001,120.251,120.68,120.23,120.595,402080,120.441454
2026-08-27 15:20:00-04:00,2026-08-27T15:20:00,1787858400,120.61495,120.59,120.7799,120.45,120.47,355368,120.619093
2026-08-27 15:25:00-04:00,2026-08-27T15:25:00,1787858700,120.46000000000001,120.49,120.72,120.2,120.2443,429943,120.473394
2026-08-27 15:30:00-04:00,2026-08-27T15:30:00,1787859000,120.4425,120.22,120.87,120.015,120.855,1120244,120.29717
2026-08-27 15:35:00-04:00,2026-08-27T15:35:00,1787859300,120.8056,120.87,120.935,120.6762,120.815,573046,120.86979
2026-08-27 15:40:00-04:00,2026-08-27T15:40:00,1787859600,120.81,120.8,120.94,120.68,120.84,475512,120.841542
2026-08-27 15:45:00-04:00,2026-08-27T15:45:00,1787859900,120.9975,120.82,121.25,120.745,121.2,1108722,120.957114
2026-08-27 15:50:00-04:00,2026-08-27T15:50:00,1787860200,121.53999999999999,121.19,122.16,120.92,122.0,1840330,121.60523
2026-08-27 15:55:00-04:00,2026-08-27T15:55:00,1787860500,122.68,122.01,123.59,121.77,123.17,3795322,122.957138
2026-08-28 09:30:00-04:00,2026-08-28T09:30:00,1787923800,118.96000000000001,119.92,120.2,117.72,118.32,1404302,118.637636
2026-08-28 09:35:00-04:00,2026-08-28T09:35:00,1787924100,118.72999999999999,118.335,119.94,117.52,119.85,1197283,118.690665
2026-08-28 09:40:00-04:00,2026-08-28T09:40:00,1787924400,120.44995,119.8,121.1999,119.7,120.06,988438,120.45935
2026-08-28 09:45:00-04:00,2026-08-28T09:45:00,1787924700,119.89,120.11,120.45,119.33,119.35,657488,119.944281
2026-08-28 09:50:00-04:00,2026-08-28T09:50:00,1787925000,119.2355,119.38,119.92,118.551,118.87,752671,119.187854
2026-08-28 09:55:00-04:00,2026-08-28T09:55:00,1787925300,119.5,118.88,120.25,118.75,119.1501,502654,119.497037
2026-08-28 10:00:00-04:00,2026-08-28T10:00:00,1787925600,119.47505,119.3,120.6,118.3501,119.39,1189818,119.510923
2026-08-28 10:05:00-04:00,2026-08-28T10:05:00,1787925900,118.41,119.305,119.35,117.47,117.89,1238445,118.130013
2026-08-28 10:10:00-04:00,2026-08-28T10:10:00,1787926200,117.53999999999999,117.92,118.56,116.52,117.14,1476741,117.36776
2026-08-28 10:15:00-04:00,2026-08-28T10:15:00,1787926500,117.905,117.16,118.72,117.09,118.235,832721,118.007843
2026-08-28 10:20:00-04:00,2026-08-28T10:20:00,1787926800,118.84100000000001,118.33,119.5219,118.1601,118.96,933765,118.941082
2026-08-28 10:25:00-04:00,2026-08-28T10:25:00,1787927100,118.89,119.07,119.5,118.28,119.48,578798,118.997717
2026-08-28 10:30:00-04:00,2026-08-28T10:30:00,1787927400,119.34530000000001,119.49,120.09,118.6006,120.03,668130,119.397614
2026-08-28 10:35:00-04:00,2026-08-28T10:35:00,1787927700,120.025,120.06,120.45,119.6,119.7,699062,120.069497
2026-08-28 10:40:00-04:00,2026-08-28T10:40:00,1787928000,119.7574,119.6,120.2313,119.2835,119.7922,382915,119.840241
2026-08-28 10:45:00-04:00,2026-08-28T10:45:00,1787928300,119.49000000000001,119.91,119.97,119.01,119.13,371044,119.508849
2026-08-28 10:50:00-04:00,2026-08-28T10:50:00,1787928600,119.13499999999999,119.08,119.57,118.7,118.78,503646,119.023632
2026-08-28 10:55:00-04:00,2026-08-28T10:55:00,1787928900,119.2,118.74,119.7,118.7,119.385,342443,119.323054
2026-08-28 11:00:00-04:00,2026-08-28T11:00:00,1787929200,119.155,119.31,119.62,118.69,118.8062,413118,119.084279
2026-08-28 11:05:00-04:00,2026-08-28T11:05:00,1787929500,118.515,118.7795,118.97,118.06,118.1199,505259,118.446234
2026-08-28 11:10:00-04:00,2026-08-28T11:10:00,1787929800,118.0,118.07,118.34,117.66,117.82,612839,117.97564
2026-08-28 11:15:00-04:00,2026-08-28T11:15:00,1787930100,118.025,117.81,118.28,117.77,118.02,307295,117.996358
2026-08-28 11:20:00-04:00,2026-08-28T11:20:00,1787930400,117.825,117.97,118.34,117.31,117.81,436168,117.7368
2026-08-28 11:25:00-04:00,2026-08-28T11:25:00,1787930700,117.9875,117.8,118.265,117.71,117.9,213714,117.94517
2026-08-28 11:30:00-04:00,2026-08-28T11:30:00,1787931000,117.6,117.92,117.92,117.28,117.28,299725,117.645415
2026-08-28 11:35:00-04:00,2026-08-28T11:35:00,1787931300,117.035,117.295,117.49,116.58,116.6201,653416,117.023185
2026-08-28 11:40:00-04:00,2026-08-28T11:40:00,1787931600,116.0,116.622,116.64,115.36,115.555,1055923,115.911837
2026-08-28 11:45:00-04:00,2026-08-28T11:45:00,1787931900,114.82,115.55,115.56,114.08,114.33,1197939,114.796582
2026-08-28 11:50:00-04:00,2026-08-28T11:50:00,1787932200,113.8926,114.29,114.6352,113.15,114.095,1283214,113.804958
2026-08-28 11:55:00-04:00,2026-08-28T11:55:00,1787932500,112.965,114.07,114.07,111.86,111.9997,1477824,112.610502
2026-08-28 12:00:00-04:00,2026-08-28T12:00:00,1787932800,111.44475,112.07,112.2495,110.64,111.3,1993305,111.435508
2026-08-28 12:05:00-04:00,2026-08-28T12:05:00,1787933100,112.375,111.3359,113.55,111.2,113.5,1379263,112.477109
2026-08-28 12:10:00-04:00,2026-08-28T12:10:00,1787933400,112.85175000000001,113.53,113.53,112.1735,112.32,1039701,112.884145
2026-08-28 12:15:00-04:00,2026-08-28T12:15:00,1787933700,111.835,112.32,112.6,111.07,111.4617,866642,111.737524
2026-08-28 12:20:00-04:00,2026-08-28T12:20:00,1787934000,111.31495,111.47,111.7499,110.88,111.53,749390,111.23256
2026-08-28 12:25:00-04:00,2026-08-28T12:25:00,1787934300,111.62004999999999,111.47,111.92,111.3201,111.54,559848,111.592432
2026-08-28 12:30:00-04:00,2026-08-28T12:30:00,1787934600,111.33500000000001,111.505,111.92,110.75,110.75,601602,111.455403
2026-08-28 12:35:00-04:00,2026-08-28T12:35:00,1787934900,111.26495,110.7504,111.8499,110.68,111.485,737896,111.308819
2026-08-28 12:40:00-04:00,2026-08-28T12:40:00,1787935200,111.12004999999999,111.48,111.49,110.7501,111.21,444361,111.063805
2026-08-28 12:45:00-04:00,2026-08-28T12:45:00,1787935500,112.03,111.22,112.87,111.19,112.575,658487,112.210686
2026-08-28 12:50:00-04:00,2026-08-28T12:50:00,1787935800,112.69855,112.6,113.1771,112.22,112.2905,540151,112.623311
2026-08-28 12:55:00-04:00,2026-08-28T12:55:00,1787936100,112.2243,112.3061,112.5685,111.8801,112.05,346840,112.179575
2026-08-28 13:00:00-04:00,2026-08-28T13:00:00,1787936400,111.375,112.05,112.05,110.7,111.22,902146,111.216617
2026-08-28 13:05:00-04:00,2026-08-28T13:05:00,1787936700,110.715,111.22,111.22,110.21,110.85,752970,110.644861
2026-08-28 13:10:00-04:00,2026-08-28T13:10:00,1787937000,111.03755000000001,110.85,111.465,110.6101,111.4,476515,111.047723
2026-08-28 13:15:00-04:00,2026-08-28T13:15:00,1787937300,111.36449999999999,111.385,111.679,111.05,111.5,201365,111.371302
2026-08-28 13:20:00-04:00,2026-08-28T13:20:00,1787937600,111.30494999999999,111.42,111.6599,110.95,111.5,285678,111.182931
2026-08-28 13:25:00-04:00,2026-08-28T13:25:00,1787937900,111.66,111.55,112.07,111.25,111.55,368231,111.76194
2026-08-28 13:30:00-04:00,2026-08-28T13:30:00,1787938200,111.88495,111.5399,112.3399,111.43,112.05,346945,111.990106
2026-08-28 13:35:00-04:00,2026-08-28T13:35:00,1787938500,111.975,112.06,112.48,111.47,111.575,403822,112.038816
2026-08-28 13:40:00-04:00,2026-08-28T13:40:00,1787938800,111.69995,111.5416,111.9799,111.42,111.915,194407,111.755142
2026-08-28 13:45:00-04:00,2026-08-28T13:45:00,1787939100,112.4,111.895,112.98,111.82,112.8701,451834,112.573845
2026-08-28 13:50:00-04:00,2026-08-28T13:50:00,1787939400,112.805,112.8783,113.05,112.56,112.91,388969,112.829405
2026-08-28 13:55:00-04:00,2026-08-28T13:55:00,1787939700,112.62,112.89,112.89,112.35,112.62,198545,112.590616
2026-08-28 14:00:00-04:00,2026-08-28T14:00:00,1787940000,112.38,112.6581,112.76,112.0,112.0001,209235,112.379017
2026-08-28 14:05:00-04:00,2026-08-28T14:05:00,1787940300,112.235,112.0001,112.47,112.0,112.17,162763,112.255887
2026-08-28 14:10:00-04:00,2026-08-28T14:10:00,1787940600,112.2,112.215,112.47,111.93,111.94,203299,112.193518
2026-08-28 14:15:00-04:00,2026-08-28T14:15:00,1787940900,112.05,111.94,112.22,111.88,112.125,181616,112.053899
2026-08-28 14:20:00-04:00,2026-08-28T14:20:00,1787941200,112.155,112.13,112.5,111.81,112.04,263928,112.149339
2026-08-28 14:25:00-04:00,2026-08-28T14:25:00,1787941500,112.13,112.0,112.36,111.9,112.01,156559,112.151633
2026-08-28 14:30:00-04:00,2026-08-28T14:30:00,1787941800,112.07894999999999,111.9801,112.3579,111.8,112.33,233102,112.076383
2026-08-28 14:35:00-04:00,2026-08-28T14:35:00,1787942100,112.205,112.33,112.56,111.85,111.87,245892,112.21776
2026-08-28 14:40:00-04:00,2026-08-28T14:40:00,1787942400,111.88499999999999,111.84,112.22,111.55,111.85,254629,111.793481
2026-08-28 14:45:00-04:00,2026-08-28T14:45:00,1787942700,111.57749999999999,111.81,111.835,111.32,111.44,232834,111.540432
2026-08-28 14:50:00-04:00,2026-08-28T14:50:00,1787943000,111.135,111.43,111.43,110.84,111.1201,406283,111.047836
2026-08-28 14:55:00-04:00,2026-08-28T14:55:00,1787943300,111.055,111.14,111.28,110.83,111.105,248978,111.094367
2026-08-28 15:00:00-04:00,2026-08-28T15:00:00,1787943600,111.4,111.11,111.87,110.93,111.49,512923,111.522219
2026-08-28 15:05:00-04:00,2026-08-28T15:05:00,1787943900,111.5,111.485,111.98,111.02,111.955,780259,111.520513
2026-08-28 15:10:00-04:00,2026-08-28T15:10:00,1787944200,111.6754,111.955,111.9699,111.3809,111.725,497470,111.665042
2026-08-28 15:15:00-04:00,2026-08-28T15:15:00,1787944500,111.765,111.7465,112.08,111.45,112.04,586230,111.701307
2026-08-28 15:20:00-04:00,2026-08-28T15:20:00,1787944800,112.05000000000001,112.05,112.34,111.76,112.035,705012,112.020032
2026-08-28 15:25:00-04:00,2026-08-28T15:25:00,1787945100,112.245,112.06,112.65,111.84,112.49,809993,112.32912
2026-08-28 15:30:00-04:00,2026-08-28T15:30:00,1787945400,112.3425,112.5,112.65,112.035,112.2142,2511192,112.405444
2026-08-28 15:35:00-04:00,2026-08-28T15:35:00,1787945700,111.99000000000001,112.2,112.23,111.75,112.025,909811,111.93461
2026-08-28 15:40:00-04:00,2026-08-28T15:40:00,1787946000,112.2525,112.0432,112.47,112.035,112.33,913357,112.29054
2026-08-28 15:45:00-04:00,2026-08-28T15:45:00,1787946300,112.145,112.33,112.46,111.83,112.3299,1095714,112.107031
2026-08-28 15:50:00-04:00,2026-08-28T15:50:00,1787946600,112.155,112.33,112.88,111.43,111.77,1932988,111.986094
2026-08-28 15:55:00-04:00,2026-08-28T15:55:00,1787946900,111.68,111.76,112.11,111.25,111.37,2444495,111.65086
2026-08-31 09:30:00-04:00,2026-08-31T09:30:00,1788183000,113.65,112.41,115.05,112.25,114.35,1864212,114.017506
2026-08-31 09:35:00-04:00,2026-08-31T09:35:00,1788183300,112.97485,114.35,114.365,111.5847,111.63,1245298,112.813719
2026-08-31 09:40:00-04:00,2026-08-31T09:40:00,1788183600,112.20500000000001,111.7,113.12,111.29,112.53,847001,112.39611
2026-08-31 09:45:00-04:00,2026-08-31T09:45:00,1788183900,113.19545,112.49,114.2,112.1909,113.17,814707,113.183867
2026-08-31 09:50:00-04:00,2026-08-31T09:50:00,1788184200,113.15,113.17,113.8,112.5,113.66,555599,113.299347
2026-08-31 09:55:00-04:00,2026-08-31T09:55:00,1788184500,113.57,113.645,113.9,113.24,113.4613,444315,113.595347
2026-08-31 10:00:00-04:00,2026-08-31T10:00:00,1788184800,113.42505,113.5687,114.1701,112.68,113.025,545148,113.46746
2026-08-31 10:05:00-04:00,2026-08-31T10:05:00,1788185100,112.95750000000001,113.04,113.435,112.48,112.48,333281,112.851946
2026-08-31 10:10:00-04:00,2026-08-31T10:10:00,1788185400,112.61005,112.4801,112.95,112.2701,112.77,378938,112.551524
2026-08-31 10:15:00-04:00,2026-08-31T10:15:00,1788185700,112.945,112.7499,113.39,112.5,113.02,441498,112.920181
2026-08-31 10:20:00-04:00,2026-08-31T10:20:00,1788186000,112.785,113.005,113.35,112.22,112.225,404722,112.761674
2026-08-31 10:25:00-04:00,2026-08-31T10:25:00,1788186300,112.255,112.22,112.46,112.05,112.2,415409,112.215366
2026-08-31 10:30:00-04:00,2026-08-31T10:30:00,1788186600,112.14495,112.13,112.4699,111.82,112.41,575490,112.098396
2026-08-31 10:35:00-04:00,2026-08-31T10:35:00,1788186900,112.6325,112.36,113.1,112.165,112.825,356813,112.728199
2026-08-31 10:40:00-04:00,2026-08-31T10:40:00,1788187200,112.93145,112.7936,113.1729,112.69,112.94,230525,112.95837
2026-08-31 10:45:00-04:00,2026-08-31T10:45:00,1788187500,112.545,113.0,113.04,112.05,112.15,322422,112.47356
2026-08-31 10:50:00-04:00,2026-08-31T10:50:00,1788187800,112.06197,112.15,112.42,111.70394,112.18,356228,112.063566
2026-08-31 10:55:00-04:00,2026-08-31T10:55:00,1788188100,112.1,112.155,112.5,111.7,111.86,336039,112.187693
2026-08-31 11:00:00-04:00,2026-08-31T11:00:00,1788188400,111.75999999999999,111.84,112.27,111.25,111.5194,499947,111.630945
2026-08-31 11:05:00-04:00,2026-08-31T11:05:00,1788188700,111.4736,111.48,111.7972,111.15,111.155,359964,111.430621
2026-08-31 11:10:00-04:00,2026-08-31T11:10:00,1788189000,111.14,111.15,111.42,110.86,111.335,482106,111.136416
2026-08-31 11:15:00-04:00,2026-08-31T11:15:00,1788189300,111.20745,111.3041,111.4999,110.915,111.3,251648,111.177884
2026-08-31 11:20:00-04:00,2026-08-31T11:20:00,1788189600,111.41499999999999,111.3,111.7,111.13,111.65,204552,111.532482
2026-08-31 11:25:00-04:00,2026-08-31T11:25:00,1788189900,111.78,111.66,112.1,111.46,111.68,297122,111.837436
2026-08-31 11:30:00-04:00,2026-08-31T11:30:00,1788190200,111.475,111.65,111.8,111.15,111.4,255892,111.440479
2026-08-31 11:35:00-04:00,2026-08-31T11:35:00,1788190500,111.28999999999999,111.38,111.48,111.1,111.34,166771,111.282941
2026-08-31 11:40:00-04:00,2026-08-31T11:40:00,1788190800,111.20835,111.3604,111.3866,111.0301,111.37,140033,111.154678
2026-08-31 11:45:00-04:00,2026-08-31T11:45:00,1788191100,111.3434,111.34,111.545,111.1418,111.255,158868,111.353458
2026-08-31 11:50:00-04:00,2026-08-31T11:50:00,1788191400,111.29310000000001,111.255,111.5352,111.051,111.075,223480,111.329203
2026-08-31 11:55:00-04:00,2026-08-31T11:55:00,1788191700,110.9645,111.06,111.149,110.78,110.85,258470,110.914809
2026-08-31 12:00:00-04:00,2026-08-31T12:00:00,1788192000,110.695,110.86,110.89,110.5,110.565,350617,110.628232
2026-08-31 12:05:00-04:00,2026-08-31T12:05:00,1788192300,110.55250000000001,110.555,110.775,110.33,110.45,332017,110.507047
2026-08-31 12:10:00-04:00,2026-08-31T12:10:00,1788192600,110.83500000000001,110.4486,111.25,110.42,110.945,449137,110.883386
2026-08-31 12:15:00-04:00,2026-08-31T12:15:00,1788192900,110.955,110.9438,111.11,110.8,111.09,205825,110.976868
2026-08-31 12:20:00-04:00,2026-08-31T12:20:00,1788193200,111.2,111.1,111.31,111.09,111.18,250350,111.160417
2026-08-31 12:25:00-04:00,2026-08-31T12:25:00,1788193500,111.47,111.2,111.75,111.19,111.74,277260,111.492166
2026-08-31 12:30:00-04:00,2026-08-31T12:30:00,1788193800,111.70505,111.75,111.85,111.5601,111.5891,173100,111.675261
2026-08-31 12:35:00-04:00,2026-08-31T12:35:00,1788194100,111.69005,111.6052,111.83,111.5501,111.5501,207313,111.694807
2026-08-31 12:40:00-04:00,2026-08-31T12:40:00,1788194400,111.8,111.55,112.14,111.46,111.86,292369,111.904428
2026-08-31 12:45:00-04:00,2026-08-31T12:45:00,1788194700,111.82595,111.86,112.0319,111.62,111.88,131839,111.82074
2026-08-31 12:50:00-04:00,2026-08-31T12:50:00,1788195000,111.995,111.89,112.16,111.83,112.07,128182,112.063304
