date,equity,pos
2019-11-29,219428.00974824635,False
2019-12-02,219428.00974824635,False
2019-12-03,224677.3829332369,True
2019-12-04,235231.7314503309,True
2019-12-05,238835.11092119364,False
2019-12-06,238835.11092119364,False
2019-12-09,238835.11092119364,False
2019-12-10,238835.11092119364,False
2019-12-11,238835.11092119364,False
2019-12-12,238835.11092119364,False
2019-12-13,238835.11092119364,False
2019-12-16,238835.11092119364,False
2019-12-17,238835.11092119364,False
2019-12-18,238835.11092119364,False
2019-12-19,238835.11092119364,False
2019-12-20,238835.11092119364,False
2019-12-23,238835.11092119364,False
2019-12-24,238835.11092119364,False
2019-12-26,238835.11092119364,False
2019-12-27,238835.11092119364,False
2019-12-30,238835.11092119364,False
2019-12-31,238835.11092119364,False
2020-01-02,238835.11092119364,False
2020-01-03,238835.11092119364,False
2020-01-06,238835.11092119364,False
2020-01-07,238835.11092119364,False
2020-01-08,238835.11092119364,False
2020-01-09,238835.11092119364,False
2020-01-10,238835.11092119364,False
2020-01-13,238835.11092119364,False
2020-01-14,238835.11092119364,False
2020-01-15,238835.11092119364,False
2020-01-16,238835.11092119364,False
2020-01-17,238835.11092119364,False
2020-01-21,238835.11092119364,False
2020-01-22,238835.11092119364,False
2020-01-23,238835.11092119364,False
2020-01-24,238835.11092119364,False
2020-01-27,238835.11092119364,False
2020-01-28,246476.14321207555,True
2020-01-29,243730.80580868316,False
2020-01-30,243730.80580868316,False
2020-01-31,243730.80580868316,False
2020-02-03,249542.3824618577,True
2020-02-04,272818.2600090959,True
2020-02-05,287322.52219591336,False
2020-02-06,287322.52219591336,False
2020-02-07,287322.52219591336,False
2020-02-10,287322.52219591336,False
2020-02-11,287322.52219591336,False
2020-02-12,287322.52219591336,False
2020-02-13,287322.52219591336,False
2020-02-14,287322.52219591336,False
2020-02-18,287322.52219591336,False
2020-02-19,287322.52219591336,False
2020-02-20,287322.52219591336,False
2020-02-21,287322.52219591336,False
2020-02-24,287322.52219591336,False
2020-02-25,287322.52219591336,False
2020-02-26,287322.52219591336,False
2020-02-27,287322.52219591336,False
2020-02-28,287322.52219591336,False
2020-03-02,287322.52219591336,False
2020-03-03,287322.52219591336,False
2020-03-04,287322.52219591336,False
2020-03-05,287322.52219591336,False
2020-03-06,287322.52219591336,False
2020-03-09,287322.52219591336,False
2020-03-10,303984.87888321164,True
2020-03-11,276770.8297823407,False
2020-03-12,276770.8297823407,False
2020-03-13,296904.17654584727,True
2020-03-16,205172.8487656213,False
2020-03-17,225510.14460361406,True
2020-03-18,167120.72862031503,True
2020-03-19,179796.20694461025,True
2020-03-20,164421.085873399,True
2020-03-23,179516.09972645523,True
2020-03-24,241013.80723590348,True
2020-03-25,245410.36828088108,False
2020-03-26,245410.36828088108,False
2020-03-27,245410.36828088108,False
2020-03-30,245410.36828088108,False
2020-03-31,245410.36828088108,False
2020-04-01,245410.36828088108,False
2020-04-02,273561.8820683978,True
2020-04-03,257308.46320586922,True
2020-04-06,336239.9931030981,True
2020-04-07,374427.5317102866,False
2020-04-08,374427.5317102866,False
2020-04-09,374427.5317102866,False
2020-04-13,374427.5317102866,False
2020-04-14,374427.5317102866,False
2020-04-15,374427.5317102866,False
2020-04-16,374427.5317102866,False
2020-04-17,374427.5317102866,False
2020-04-20,374427.5317102866,False
2020-04-21,374427.5317102866,False
2020-04-22,401602.9190146794,True
2020-04-23,403667.7489022525,False
2020-04-24,403667.7489022525,False
2020-04-27,403667.7489022525,False
2020-04-28,403667.7489022525,False
2020-04-29,403667.7489022525,False
2020-04-30,403667.7489022525,False
2020-05-01,403667.7489022525,False
2020-05-04,426402.7574765582,True
2020-05-05,448017.8148895681,True
2020-05-06,462913.1653348028,False
2020-05-07,462913.1653348028,False
2020-05-08,462913.1653348028,False
2020-05-11,462913.1653348028,False
2020-05-12,462913.1653348028,False
2020-05-13,462913.1653348028,False
2020-05-14,462913.1653348028,False
2020-05-15,462913.1653348028,False
2020-05-18,462913.1653348028,False
2020-05-19,462913.1653348028,False
2020-05-20,462913.1653348028,False
2020-05-21,462913.1653348028,False
2020-05-22,462913.1653348028,False
2020-05-26,462913.1653348028,False
2020-05-27,462913.1653348028,False
2020-05-28,462913.1653348028,False
2020-05-29,462913.1653348028,False
2020-06-01,462913.1653348028,False
2020-06-02,462913.1653348028,False
2020-06-03,462913.1653348028,False
2020-06-04,462913.1653348028,False
2020-06-05,462913.1653348028,False
2020-06-08,462913.1653348028,False
2020-06-09,462913.1653348028,False
2020-06-10,462913.1653348028,False
2020-06-11,462913.1653348028,False
2020-06-12,441161.24145029235,True
2020-06-15,460523.15255732194,True
2020-06-16,499730.310576363,False
2020-06-17,499730.310576363,False
2020-06-18,499730.310576363,False
2020-06-19,499730.310576363,False
2020-06-22,499730.310576363,False
2020-06-23,499730.310576363,False
2020-06-24,499730.310576363,False
2020-06-25,499730.310576363,False
2020-06-26,499730.310576363,False
2020-06-29,499730.310576363,False
2020-06-30,499730.310576363,False
2020-07-01,499730.310576363,False
2020-07-02,499730.310576363,False
2020-07-06,499730.310576363,False
2020-07-07,499730.310576363,False
2020-07-08,499730.310576363,False
2020-07-09,499730.310576363,False
2020-07-10,499730.310576363,False
2020-07-13,499730.310576363,False
2020-07-14,499730.310576363,False
2020-07-15,499730.310576363,False
2020-07-16,499730.310576363,False
2020-07-17,499730.310576363,False
2020-07-20,499730.310576363,False
2020-07-21,499730.310576363,False
2020-07-22,499730.310576363,False
2020-07-23,499730.310576363,False
2020-07-24,499730.310576363,False
2020-07-27,499730.310576363,False
2020-07-28,499730.310576363,False
2020-07-29,499730.310576363,False
2020-07-30,499730.310576363,False
2020-07-31,499730.310576363,False
2020-08-03,499730.310576363,False
2020-08-04,499730.310576363,False
2020-08-05,499730.310576363,False
2020-08-06,499730.310576363,False
2020-08-07,499730.310576363,False
2020-08-10,499730.310576363,False
2020-08-11,499730.310576363,False
2020-08-12,499730.310576363,False
2020-08-13,499730.310576363,False
2020-08-14,499730.310576363,False
2020-08-17,499730.310576363,False
2020-08-18,499730.310576363,False
2020-08-19,499730.310576363,False
2020-08-20,499730.310576363,False
2020-08-21,499730.310576363,False
2020-08-24,499730.310576363,False
2020-08-25,499730.310576363,False
2020-08-26,499730.310576363,False
2020-08-27,499730.310576363,False
2020-08-28,499730.310576363,False
2020-08-31,499730.310576363,False
2020-09-01,499730.310576363,False
2020-09-02,499730.310576363,False
2020-09-03,499730.310576363,False
2020-09-04,499730.310576363,False
2020-09-08,499730.310576363,False
2020-09-09,504220.75354026817,True
2020-09-10,520780.59061731066,False
2020-09-11,520780.59061731066,False
2020-09-14,520780.59061731066,False
2020-09-15,520780.59061731066,False
2020-09-16,520780.59061731066,False
2020-09-17,520780.59061731066,False
2020-09-18,520780.59061731066,False
2020-09-21,520780.59061731066,False
2020-09-22,520780.59061731066,False
2020-09-23,520780.59061731066,False
2020-09-24,520780.59061731066,False
2020-09-25,520780.59061731066,False
