wr_lookback,wr_entry,wr_exit,cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
2,-80,-30,3,-80,100,125,0.728,2.4208897522200385,0.03318663920814727,0.049462720427476015,3.96,28.89805391300003,0.7637886239242782,1.2739464133854734,-0.40065864732319667,1.906332557720033,0.22582781456953643,2989805.391300003
2,-80,-30,3,-50,100,144,0.7291666666666666,2.273232844669856,0.02935752975847173,0.043474155959033145,4.020833333333333,28.377112947998285,0.7586184211367744,1.2375830338320952,-0.4006586473231969,1.8934282991397018,0.26158940397350994,2937711.2947998284
2,-90,-40,5,-50,-50,86,0.7558139534883721,2.923093293047605,0.04071493908960245,0.046026013462018844,3.244186046511628,15.943269895420073,0.6041845832234829,1.284265718372685,-0.3257011937607833,1.855027229857918,0.1317880794701987,1694326.9895420074
2,-85,-30,20,-80,-50,65,0.7230769230769231,3.382771980246387,0.045507103547310454,0.05498174827282165,3.8461538461538463,10.398471384709934,0.5014246180005935,1.1464985019925755,-0.2708927300702729,1.8510080276813545,0.11456953642384106,1139847.1384709934
2,-90,-40,20,-80,-50,58,0.7413793103448276,3.6999975352406693,0.049159343836348256,0.05304904250058051,3.2241379310344827,9.390137106879752,0.47837808234684287,1.2211736883590685,-0.2589214604333293,1.8475798859864005,0.08940397350993377,1039013.7106879752
2,-80,-30,5,-100,0,93,0.7204301075268817,2.5959094283001525,0.03874910262304241,0.053307487278895005,4.043010752688172,17.7470233521023,0.631518191091279,1.1927569747366418,-0.3446871294021785,1.8321490337819608,0.16887417218543047,1874702.33521023
2,-80,-30,5,-100,50,93,0.7204301075268817,2.5959094283001525,0.03874910262304241,0.053307487278895005,4.043010752688172,17.7470233521023,0.631518191091279,1.1927569747366418,-0.3446871294021785,1.8321490337819608,0.16887417218543047,1874702.33521023
2,-80,-30,5,-100,100,93,0.7204301075268817,2.5959094283001525,0.03874910262304241,0.053307487278895005,4.043010752688172,17.7470233521023,0.631518191091279,1.1927569747366418,-0.3446871294021785,1.8321490337819608,0.16887417218543047,1874702.33521023
2,-90,-40,3,-80,0,91,0.7472527472527473,2.7776130717929925,0.03733079379954102,0.03924471252068695,3.4395604395604398,15.224105475317753,0.5926064391005474,1.2596018667898894,-0.3257011937607833,1.8194788672951476,0.1456953642384106,1622410.5475317754
2,-85,-40,3,-80,0,112,0.7232142857142857,2.368589829622779,0.030754947444308203,0.034972319930543394,3.4285714285714284,15.042402859638475,0.5896135865809018,1.2080196663413965,-0.3257011937607833,1.8102899156518086,0.17483443708609273,1604240.2859638475
2,-90,-40,8,-50,-50,79,0.7468354430379747,3.002743173402101,0.04356527103618439,0.05111633672833937,3.4050632911392404,15.031597888926434,0.5894347283030148,1.2726231520016251,-0.3257011937607833,1.8097407672872545,0.12649006622516556,1603159.7888926435
2,-90,-40,8,-50,0,79,0.7468354430379747,3.002743173402101,0.04356527103618439,0.05111633672833937,3.4050632911392404,15.031597888926434,0.5894347283030148,1.2726231520016251,-0.3257011937607833,1.8097407672872545,0.12649006622516556,1603159.7888926435
2,-90,-40,8,-50,50,79,0.7468354430379747,3.002743173402101,0.04356527103618439,0.05111633672833937,3.4050632911392404,15.031597888926434,0.5894347283030148,1.2726231520016251,-0.3257011937607833,1.8097407672872545,0.12649006622516556,1603159.7888926435
2,-90,-40,8,-50,100,79,0.7468354430379747,3.002743173402101,0.04356527103618439,0.05111633672833937,3.4050632911392404,15.031597888926434,0.5894347283030148,1.2726231520016251,-0.3257011937607833,1.8097407672872545,0.12649006622516556,1603159.7888926435
2,-90,-30,20,-80,0,55,0.7454545454545455,3.9183798646898014,0.05315411246602964,0.059899424847525085,3.8363636363636364,10.14741885183682,0.49585041594950674,1.1569927670327482,-0.2764854094203686,1.7934053626519417,0.09867549668874172,1114741.885183682
2,-90,-30,20,-80,50,55,0.7454545454545455,3.9183798646898014,0.05315411246602964,0.059899424847525085,3.8363636363636364,10.14741885183682,0.49585041594950674,1.1569927670327482,-0.2764854094203686,1.7934053626519417,0.09867549668874172,1114741.885183682
2,-90,-30,20,-80,100,55,0.7454545454545455,3.9183798646898014,0.05315411246602964,0.059899424847525085,3.8363636363636364,10.14741885183682,0.49585041594950674,1.1569927670327482,-0.2764854094203686,1.7934053626519417,0.09867549668874172,1114741.885183682
2,-80,-40,3,-80,0,134,0.7388059701492538,2.411257632184938,0.029294663194322237,0.036108467628164664,3.2313432835820897,24.536588857084304,0.717946810743366,1.3091867621581919,-0.4006586473231968,1.7919164244674952,0.1986754966887417,2553658.8857084303
2,-80,-30,5,-120,-50,66,0.7121212121212122,2.941337031018764,0.04241099346910393,0.05489989735330636,3.9696969696969697,8.81588948917824,0.4644069385985867,1.0935012552798105,-0.26268373636794684,1.7679318294303603,0.11986754966887417,981588.948917824
2,-90,-30,3,-80,100,84,0.7261904761904762,2.561925912793605,0.04045619200496703,0.04750277138459014,4.309523809523809,14.113910342613403,0.5738642013533639,1.1316204509077203,-0.3257011937607833,1.7619345963307953,0.16556291390728478,1511391.0342613403
2,-80,-30,5,-50,0,119,0.6974789915966386,2.3876484912769995,0.033297618822658366,0.05111633672833937,3.9495798319327733,22.83585963685792,0.6982857724017526,1.2058935696455453,-0.40065864732319667,1.7428446311267831,0.21324503311258278,2383585.963685792
