trades,win_rate,profit_factor,avg_trade,total_return,cagr,sharpe,max_drawdown,calmar,exposure,family,param,period
45,0.7777777777777778,3.1844501576746467,0.05500015692555304,5.307471596222152,0.36013969681796376,0.889737672641731,-0.45911426095451224,0.7844228059246572,0.08211920529801324,QQQ_below_EMA50,0.0,IS
20,0.75,3.3502361608973676,0.07851485664813458,1.914356334602906,0.1955922284723164,0.6537933818462097,-0.45911426095451224,0.4260208081223056,0.0390728476821192,QQQ_below_EMA200,0.0,IS
67,0.7313432835820896,2.915240905289551,0.04444183713730842,9.192869565684743,0.47365286172708276,1.1090674869724948,-0.3668056669780315,1.2912910142019438,0.1205298013245033,QQQ_dist50_min,-0.1,IS
54,0.7037037037037037,2.062918446982782,0.024767076969552253,1.5368209917814042,0.16820828637989638,0.6387617881418816,-0.4181529182873529,0.4022650064690075,0.09668874172185431,QQQ_dist50_min,-0.05,IS
33,0.696969696969697,2.4197087462181277,0.030850347559822057,1.4508149944211577,0.16149834825666654,0.7725252197434134,-0.22570003173662223,0.7155441982618991,0.05894039735099338,QQQ_dist50_min,0.0,IS
7,0.7142857142857143,4.479086586960513,0.05346300632189179,0.4100163329496429,0.059063168903158436,0.5496471266143117,-0.22598582628190367,0.2613578465291921,0.011258278145695364,QQQ_dist50_min,0.03,IS
1,1.0,inf,0.03918601630273222,0.03918601630273222,0.006440118967336428,0.29795580630187485,-0.013194915618476077,0.48807579779583443,0.0006622516556291391,QQQ_dist50_min,0.05,IS
69,0.7101449275362319,2.449750660413498,0.03887229552190613,6.278580425595623,0.3930608076487563,0.9578845827804745,-0.36680566697803163,1.0715777945499874,0.12185430463576159,QQQ_dist200_min,-0.15,IS
65,0.7230769230769231,3.1679552427928055,0.04499909654734243,9.172179668353976,0.4731528663793425,1.1244980224276344,-0.27941241400333705,1.693385270898134,0.11721854304635762,QQQ_dist200_min,-0.1,IS
58,0.7068965517241379,2.2763892155326557,0.028498226616137354,3.108894708835148,0.2661873496059466,0.857201451271358,-0.3549182165766954,0.749996301044822,0.10132450331125828,QQQ_dist200_min,-0.05,IS
53,0.6981132075471698,2.0384765398157807,0.024654113419197543,1.9691505326900929,0.19931735544703488,0.7280577869609528,-0.4181529182873529,0.4766614000050212,0.09271523178807947,QQQ_dist200_min,0.0,IS
37,0.7837837837837838,3.0853574410855176,0.03731326991035443,2.456704301426477,0.2301604628487759,0.8841982973053474,-0.21452348662310428,1.0728916748082888,0.06556291390728476,QQQ_dist200_min,0.05,IS
14,0.7142857142857143,1.9746453135649196,0.03121163309040098,0.43813102619598765,0.06256096505575681,0.4265316995011941,-0.2145234866231045,0.2916275790616341,0.025165562913907286,QQQ_dist200_min,0.1,IS
