family,param,IS_trades,IS_win_rate,IS_profit_factor,IS_avg_trade,IS_total_return,IS_cagr,IS_sharpe,IS_max_drawdown,IS_calmar,IS_exposure,Validation_trades,Validation_win_rate,Validation_profit_factor,Validation_avg_trade,Validation_total_return,Validation_cagr,Validation_sharpe,Validation_max_drawdown,Validation_calmar,Validation_exposure,OOS_trades,OOS_win_rate,OOS_profit_factor,OOS_avg_trade,OOS_total_return,OOS_cagr,OOS_sharpe,OOS_max_drawdown,OOS_calmar,OOS_exposure,robust_score
Ret1_down,-0.03,66,0.7424242424242424,2.9887250835786787,0.047462977899706146,10.42080603983478,0.5019155523999459,1.0781121932548592,-0.4884931582236043,1.0274771385236017,0.11456953642384106,27,0.6666666666666666,2.6802044294614777,0.02986460691978676,0.9947496505163627,0.41674074070254497,1.0329217125833705,-0.3197632613188608,1.3032789914129015,0.166,17,0.7647058823529411,3.2722471691115516,0.05097263808162273,1.1081860596840918,0.45233029394980395,0.8857196887019739,-0.3988610298971422,1.1340548713582028,0.09940357852882704,3.396654563413776
QQQ_above_EMA50,0.0,33,0.696969696969697,2.4197087462181277,0.030850347559822057,1.4508149944211577,0.16149834825666654,0.7725252197434134,-0.22570003173662223,0.7155441982618991,0.05894039735099338,13,0.7692307692307693,1.4628089785914344,0.00900561589754972,0.08494283953582515,0.041987162903132536,0.28617681726708694,-0.3197632613188607,0.13130702611036946,0.09,10,0.9,7.1788243090528265,0.06574721518786183,0.8448869464091631,0.35855105649430397,1.1827454845334624,-0.17119851675943976,2.0943584283392087,0.05168986083499006,2.9601266053498527
VOLZ20_min,-0.5,63,0.746031746031746,3.1691584439929614,0.04778011967025292,9.61329129501987,0.4836341267290105,1.0636830535707957,-0.4884931582236042,0.9900530203692853,0.11324503311258279,25,0.64,2.4920457013459933,0.02864181655719378,0.8278853425826436,0.3556586546402367,0.9396323089918194,-0.3197632613188607,1.1122561521712213,0.16,15,0.7333333333333333,2.844703111379281,0.04689922677497755,0.8041284982020467,0.3434499645125304,0.758725917623951,-0.3988610298971422,0.8610767630046456,0.09145129224652088,2.8225120284837524
QQQ_below_EMA50,0.0,45,0.7777777777777778,3.1844501576746467,0.05500015692555304,5.307471596222152,0.36013969681796376,0.889737672641731,-0.45911426095451224,0.7844228059246572,0.08211920529801324,15,0.6,4.14351926524178,0.04756074831887921,0.882958735414898,0.37611315976580295,1.1172285416741496,-0.2587891122517628,1.453357741727177,0.084,9,0.6666666666666666,2.6988754156511297,0.05190037400570249,0.4562802824523169,0.20691973987100076,0.5841953573456489,-0.42598585312944026,0.4857432197592863,0.055666003976143144,2.7898129109963623
Gap_down,-0.01,46,0.717391304347826,2.2758470451237947,0.03865638091415535,2.3014252502936263,0.22075391547567547,0.6842345834739522,-0.4884931582236043,0.4519078962711427,0.08211920529801324,21,0.6666666666666666,2.2697106233017696,0.026490759062439702,0.6018507477129975,0.2683221070649948,0.816114459582233,-0.3005367320831458,0.8928096915313548,0.122,11,0.7272727272727273,5.923041540853619,0.05406591691235801,0.7249697530799932,0.3136262904081182,0.7315978441970636,-0.30632784800337387,1.023825592261086,0.0636182902584493,2.6904914356820893
QQQ_ret1_down,-0.01,57,0.7543859649122807,2.9500318610852796,0.05042110207594858,9.817113065142491,0.4883549918243728,1.0619405112710185,-0.4884931582236043,0.9997171579644352,0.09933774834437085,24,0.625,2.244929084582611,0.024893835380932924,0.6340950206188323,0.28113838788042345,0.7988648895070817,-0.3197632613188607,0.8792079075027903,0.158,15,0.8,3.5794284269860035,0.04728067715202225,0.8474532419137544,0.3594962688434167,0.7801072672051854,-0.4123342058162264,0.8718565274782003,0.08946322067594434,2.540550513337124
CloseLocation_low,-0.6,70,0.7285714285714285,2.6480168223380676,0.042209456675631626,8.411163542394494,0.45414523199893386,1.0006203971904226,-0.48849315822360406,0.9296859625433123,0.12781456953642384,24,0.6666666666666666,1.983878278674078,0.018159404064123072,0.4398096386368071,0.2018856831729141,0.693032730630311,-0.3197632613188607,0.631359845218736,0.144,17,0.7647058823529411,3.184794223115134,0.04901083241802934,1.0485667621902022,0.43163307068816414,0.8676332721420859,-0.3988610298971422,1.0821640579915093,0.09741550695825049,2.493856904596444
RVOL20_max,1.5,48,0.75,3.2033408782551005,0.044224904639498464,4.061174165456961,0.31104236753703396,0.8920066001667168,-0.3547026517547677,0.876910183778611,0.08543046357615894,23,0.6956521739130435,2.1458497877153975,0.020247703110193957,0.4839302628256179,0.22032697836133108,0.7582245553893805,-0.3197632613188607,0.6890315586993779,0.144,12,0.75,2.2661742072962996,0.03937282277595697,0.4560052067364697,0.20680566932160294,0.7011813446989833,-0.2616451401340757,0.790405161799026,0.073558648111332,2.209139670542586
ATRpct_max,0.1,42,0.7380952380952381,2.192979941760645,0.023617802779966973,1.3889163497869288,0.15654674058440654,0.6917933297619143,-0.2145234866231045,0.7297417315402994,0.07483443708609272,18,0.7777777777777778,2.884704357304686,0.02657502914810416,0.5459252729146744,0.24578617298054306,0.9040605024779854,-0.3197632613188607,0.7686504446032988,0.1,10,0.8,1.931562770034197,0.034184516919486055,0.29298700651801246,0.13719593205135827,0.5950212236749329,-0.2605514912774338,0.5265597651301592,0.05765407554671968,2.0447510728099174
ADX14_max,35.0,47,0.7446808510638298,2.1304108498142673,0.029813486648051737,1.5899849807246063,0.17226178794471814,0.6297982794015087,-0.3993722881488265,0.43133134936123707,0.08874172185430464,18,0.5555555555555556,1.3098310749227229,0.0081588562990818,0.09663233203615795,0.047635858552038446,0.30418928335022927,-0.3197632613188607,0.1489722689078313,0.118,14,0.7142857142857143,2.391993495652856,0.037917494430719026,0.5429201220658444,0.24232785425050118,0.6321159846025846,-0.3988610298971422,0.6075495876671441,0.08548707753479125,1.2246744905513824
QQQ_below_EMA200,0.0,20,0.75,3.3502361608973676,0.07851485664813458,1.914356334602906,0.1955922284723164,0.6537933818462097,-0.45911426095451224,0.4260208081223056,0.0390728476821192,9,0.5555555555555556,2.0089307461140913,0.024684238503890652,0.2085601911498387,0.10028056220291393,0.5436277859650811,-0.2587891122517628,0.38749915454463185,0.048,3,0.6666666666666666,15.576849766727923,0.03986830705429856,0.12211932721751251,0.05934313858128859,0.3127916430076582,-0.2772052876153426,0.21407650298371908,0.015904572564612324,1.0297853720147205
