cci_lookback,cci_entry,cci_exit,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity
5,-100,100,61,0.7213114754098361,2.923096981345,0.049547650194371975,0.06346153846153846,4.049180327868853,10.268692506413823,0.49855600913471143,1.088966601520948,-0.3257011937607833,1.5307159405159694,0.11456953642384106,1126869.2506413823
5,-100,150,61,0.7213114754098361,2.923096981345,0.049547650194371975,0.06346153846153846,4.049180327868853,10.268692506413823,0.49855600913471143,1.088966601520948,-0.3257011937607833,1.5307159405159694,0.11456953642384106,1126869.2506413823
30,-120,0,33,0.7878787878787878,6.53840604657986,0.07438131536808094,0.06816720257234721,3.4545454545454546,6.908631806059,0.41251006255702083,1.1586505103582405,-0.2708927300702729,1.5227801146601854,0.05496688741721854,790863.1806059
30,-120,50,33,0.7878787878787878,6.53840604657986,0.07438131536808094,0.06816720257234721,3.4545454545454546,6.908631806059,0.41251006255702083,1.1586505103582405,-0.2708927300702729,1.5227801146601854,0.05496688741721854,790863.1806059
30,-120,100,33,0.7878787878787878,6.53840604657986,0.07438131536808094,0.06816720257234721,3.4545454545454546,6.908631806059,0.41251006255702083,1.1586505103582405,-0.2708927300702729,1.5227801146601854,0.05496688741721854,790863.1806059
30,-120,150,33,0.7878787878787878,6.53840604657986,0.07438131536808094,0.06816720257234721,3.4545454545454546,6.908631806059,0.41251006255702083,1.1586505103582405,-0.2708927300702729,1.5227801146601854,0.05496688741721854,790863.1806059
30,-100,0,39,0.7692307692307693,5.279216468151954,0.06254872857513266,0.06289308176100628,3.923076923076923,6.752633952126104,0.40781818331264374,1.0757330037185489,-0.27089273007027304,1.5054600513157015,0.0728476821192053,775263.3952126104
30,-100,50,39,0.7692307692307693,5.279216468151954,0.06254872857513266,0.06289308176100628,3.923076923076923,6.752633952126104,0.40781818331264374,1.0757330037185489,-0.27089273007027304,1.5054600513157015,0.0728476821192053,775263.3952126104
30,-100,100,39,0.7692307692307693,5.279216468151954,0.06254872857513266,0.06289308176100628,3.923076923076923,6.752633952126104,0.40781818331264374,1.0757330037185489,-0.27089273007027304,1.5054600513157015,0.0728476821192053,775263.3952126104
30,-100,150,39,0.7692307692307693,5.279216468151954,0.06254872857513266,0.06289308176100628,3.923076923076923,6.752633952126104,0.40781818331264374,1.0757330037185489,-0.27089273007027304,1.5054600513157015,0.0728476821192053,775263.3952126104
7,-100,0,54,0.7407407407407407,3.008586473584722,0.05277703720233285,0.06811213972357477,4.018518518518518,8.65987612360476,0.460493767240886,1.0532284656681532,-0.3257011937607833,1.4138534830765874,0.1,965987.612360476
