atr_n,shock_k,trades,win_rate,profit_factor,avg_trade,median_trade,avg_hold_days,total_return,cagr,sharpe,max_drawdown,calmar,exposure,ending_equity,rank_calmar,rank_sharpe,rank_pf
5,0.25,69,0.7101449275362319,2.5033066173868805,0.04030829623794239,0.03918601630273222,3.971014492753623,6.925566036415702,0.41301473561670154,0.9435977480533975,-0.4884931582236043,0.845487247188111,0.1271523178807947,792556.6036415702,11.0,13.0,15.0
10,0.25,69,0.7101449275362319,2.5033066173868805,0.04030829623794239,0.03918601630273222,3.971014492753623,6.925566036415702,0.41301473561670154,0.9435977480533975,-0.4884931582236043,0.845487247188111,0.1271523178807947,792556.6036415702,11.0,13.0,15.0
14,0.25,69,0.7101449275362319,2.5033066173868805,0.04030829623794239,0.03918601630273222,3.971014492753623,6.925566036415702,0.41301473561670154,0.9435977480533975,-0.4884931582236043,0.845487247188111,0.1271523178807947,792556.6036415702,11.0,13.0,15.0
20,0.25,69,0.7101449275362319,2.5033066173868805,0.04030829623794239,0.03918601630273222,3.971014492753623,6.925566036415702,0.41301473561670154,0.9435977480533975,-0.4884931582236043,0.845487247188111,0.1271523178807947,792556.6036415702,11.0,13.0,15.0
30,0.25,68,0.7058823529411765,2.4447738187871826,0.03930854000300073,0.030038342139578234,4.014705882352941,6.1511551443202395,0.3889577306779417,0.9100704351816006,-0.4884931582236042,0.7962398738446591,0.12649006622516556,715115.514432024,15.0,19.0,19.0
20,0.75,57,0.7368421052631579,2.7006855645490426,0.039440192567625376,0.04921128820194687,3.8947368421052633,5.847715981583148,0.3789361638065789,0.9647908725853599,-0.48849315822360406,0.775724608272044,0.10066225165562914,684771.5981583148,16.0,6.0,4.0
30,0.5,65,0.7230769230769231,2.5737659204394814,0.03962758441709387,0.03918601630273222,3.876923076923077,5.832285424358414,0.3784167309227402,0.9170115076737663,-0.4884931582236043,0.7746612712015152,0.11655629139072848,683228.5424358414,17.0,18.0,9.0
14,0.75,56,0.7321428571428571,2.693627033789989,0.03997786593640911,0.05382668102337007,3.892857142857143,5.78441411480724,0.37679901505221447,0.9617903790354895,-0.4884931582236043,0.7713496263129593,0.1,678441.411480724,18.0,7.0,6.0
30,0.75,56,0.7321428571428571,2.6368841818730666,0.03863845762423314,0.045667284345157655,3.892857142857143,5.315115849682234,0.3604148570218848,0.9337319002577472,-0.48849315822360406,0.7378094267123955,0.09933774834437085,631511.5849682235,19.0,17.0,8.0
10,0.5,65,0.7076923076923077,2.4144409514122294,0.03713677709833972,0.03860497599698731,3.8923076923076922,4.819319505801987,0.3419644227597092,0.8572379204068443,-0.4884931582236042,0.7000393291141602,0.11721854304635762,581931.9505801987,20.0,20.0,20.0
14,1.0,50,0.72,2.3835072656319958,0.034653375136641885,0.045667284345157655,3.88,3.296925148426763,0.2756849454178165,0.8119519397989065,-0.4884931582236043,0.5643578436601638,0.08940397350993377,429692.51484267635,21.0,21.0,21.0
20,1.0,50,0.72,2.329567012994526,0.0333023075593006,0.04065464839555033,3.94,3.030240045635412,0.2621067084517543,0.7854842502071607,-0.4884931582236042,0.5365616775573689,0.09006622516556291,403024.0045635412,22.0,22.0,22.0
10,1.0,49,0.7142857142857143,2.2511020139849554,0.03197648653742195,0.03918601630273222,3.979591836734694,2.6696341351647983,0.24250293620181118,0.7468138924176646,-0.4884931582236042,0.4964305684109648,0.08874172185430464,366963.41351647984,23.0,24.0,23.0
30,1.0,48,0.7291666666666666,2.245841207647362,0.03246863442890864,0.04065464839555033,4.0,2.637901570160057,0.24070203082018993,0.7493495671921188,-0.4884931582236043,0.49274391415326696,0.0880794701986755,363790.1570160057,24.0,23.0,24.0
5,1.0,46,0.6956521739130435,2.1927910701145135,0.03247436349309584,0.04390813209946709,3.9347826086956523,2.4104877922381287,0.22739817045640098,0.722661009723389,-0.4884931582236043,0.4655094275697329,0.08344370860927153,341048.77922381286,25.0,25.0,25.0
5,1.25,33,0.696969696969697,2.0356766448302137,0.028120930827185135,0.03860497599698731,4.0606060606060606,1.1277400658155776,0.13439825604539224,0.5368854945226107,-0.37908362764963177,0.3545345835130867,0.06158940397350993,212774.00658155774,26.0,29.0,26.0
10,1.25,37,0.7027027027027027,1.9943115064926034,0.02957120619406536,0.04212328048836844,4.135135135135135,1.3677996125824512,0.1548330393057853,0.5757940053047413,-0.4884931582236042,0.31696050742825677,0.0695364238410596,236779.96125824514,27.0,26.0,28.0
30,1.25,36,0.7222222222222222,2.005611400341039,0.028736547311209042,0.04065464839555033,4.0,1.2627853095471235,0.14611671119233471,0.5648282289559244,-0.4884931582236042,0.29911721122908924,0.06357615894039735,226278.53095471236,28.0,27.0,27.0
14,1.25,36,0.6944444444444444,1.9221200914617993,0.028185989270614602,0.04036412824267788,4.361111111111111,1.195734266568138,0.14037346448824306,0.5458013043538663,-0.4884931582236043,0.2873601444055192,0.07019867549668875,219573.4266568138,29.0,28.0,29.0
20,1.25,38,0.6842105263157895,1.7073755066675333,0.02222114808460358,0.029594851534618716,4.184210526315789,0.8584362347235146,0.10904774820986818,0.46998605628026063,-0.4884931582236042,0.22323290792120443,0.07218543046357616,185843.62347235146,30.0,30.0,30.0
