symbol,date,issue
SPMO,2017-10-02,INVALID_OHLCV
SPMO,2017-10-03,INVALID_OHLCV
SPMO,2017-10-04,INVALID_OHLCV
SPMO,2017-10-26,INVALID_OHLCV
SPMO,2017-10-27,INVALID_OHLCV
SPMO,2017-11-24,INVALID_OHLCV
SPMO,2018-09-21,INVALID_OHLCV
SPMO,2019-03-15,INVALID_OHLCV
SPMO,2019-06-21,INVALID_OHLCV
SPMO,2020-03-20,INVALID_OHLCV
SPMO,2020-06-19,INVALID_OHLCV
SPMO,2021-05-05,INVALID_OHLCV
SPMO,2021-06-18,INVALID_OHLCV
SPMO,2021-09-17,INVALID_OHLCV
SPMO,2023-03-17,INVALID_OHLCV
SPMO,2023-06-05,INVALID_OHLCV
SPMO,2023-06-16,INVALID_OHLCV
SPMO,2023-09-15,INVALID_OHLCV
SPY,2015-07-08,INVALID_OHLCV
SPY,2016-03-15,INVALID_OHLCV
SPY,2016-04-05,INVALID_OHLCV
SPY,2016-12-15,INVALID_OHLCV
SPY,2017-03-16,INVALID_OHLCV
SPY,2017-09-14,INVALID_OHLCV
SPY,2017-12-04,INVALID_OHLCV
SPY,2017-12-14,INVALID_OHLCV
SPY,2018-03-15,INVALID_OHLCV
SPY,2018-06-14,INVALID_OHLCV
SPY,2019-03-14,INVALID_OHLCV
SPY,2019-09-19,INVALID_OHLCV
SPY,2019-12-19,INVALID_OHLCV
SPY,2020-12-17,INVALID_OHLCV
SPY,2021-03-18,INVALID_OHLCV
SPY,2022-09-15,INVALID_OHLCV
SPY,2022-12-15,INVALID_OHLCV
SPY,2024-12-19,INVALID_OHLCV
SPY,2025-06-18,INVALID_OHLCV
SPY,2025-12-18,INVALID_OHLCV
SPY,2026-06-17,INVALID_OHLCV
TQQQ,2016-04-05,INVALID_OHLCV
VGT,2016-03-03,INVALID_OHLCV
VGT,2016-03-10,INVALID_OHLCV
VGT,2016-03-11,INVALID_OHLCV
VGT,2016-03-15,INVALID_OHLCV
VGT,2016-03-24,INVALID_OHLCV
VGT,2016-04-05,INVALID_OHLCV
VGT,2016-06-20,INVALID_OHLCV
VGT,2016-09-19,INVALID_OHLCV
VGT,2017-03-23,INVALID_OHLCV
VGT,2017-06-27,INVALID_OHLCV
VGT,2017-12-07,INVALID_OHLCV
VGT,2017-12-13,INVALID_OHLCV
VGT,2018-06-27,INVALID_OHLCV
VGT,2018-09-21,INVALID_OHLCV
VGT,2018-12-12,INVALID_OHLCV
VGT,2021-09-28,INVALID_OHLCV
VGT,2024-03-21,INVALID_OHLCV
