date,equity
2018-04-30,230680.05077761924
2018-05-01,238181.06872517423
2018-05-02,234028.15175492613
2018-05-03,234044.2225778064
2018-05-04,247211.24864885333
2018-05-07,253086.4865240742
2018-05-08,252249.45162180098
2018-05-09,260700.1547589338
2018-05-10,268812.8297705813
2018-05-11,268008.01377764007
2018-05-14,269199.1476282788
2018-05-15,260490.92500720487
2018-05-16,265287.6793190916
2018-05-17,262293.71592193603
2018-05-18,258092.50921947564
2018-05-21,262599.5637698751
2018-05-22,261231.34181326785
2018-05-23,267798.74539412535
2018-05-24,267573.4061877304
2018-05-25,268249.462438701
2018-05-29,264820.89145163575
2018-05-30,270470.79012046166
2018-05-31,269891.3133339154
2018-06-01,282446.64370908414
2018-06-04,289690.1035409122
2018-06-05,292684.06693806784
2018-06-06,297513.0401592866
2018-06-07,290607.6084529438
2018-06-08,290414.44952409505
2018-06-11,292684.06693806784
2018-06-12,297319.88123043784
2018-06-13,296981.85310495255
2018-06-14,306012.0330286316
2018-06-15,302969.77989926375
2018-06-18,302293.7236482931
2018-06-19,299589.49864441063
2018-06-20,305867.163831995
2018-06-21,297947.6477491963
2018-06-22,294953.68435204064
2018-06-25,276120.6887892876
2018-06-26,279162.94191865536
2018-06-27,267959.7240454279
2018-06-28,274527.12762628536
2018-06-29,275782.66066380223
2018-07-02,281963.74638696224
2018-07-03,272257.51021231257
2018-07-05,282253.4847802354
2018-07-06,294953.68435204064
2018-07-09,303162.9388281125
2018-07-10,303887.28481129534
2018-07-11,299444.6294477741
2018-07-12,314221.2875047034
2018-07-13,315138.792416735
2018-07-16,313014.0441993987
2018-07-17,318808.81206486124
2018-07-18,316780.64331194933
2018-07-19,312096.5392873672
2018-07-20,311661.93169745756
2018-07-23,314366.15670133993
2018-07-24,318374.2044749516
2018-07-25,331653.88083330315
2018-07-26,317166.96116964694
2018-07-27,303935.57454350754
2018-07-30,290849.05711400474
2018-07-31,296643.8249794672
2018-08-01,300700.16248529096
2018-08-02,312676.01607391343
2018-08-03,315476.8205422203
2018-08-06,321271.5884076828
2018-08-07,324410.421001475
2018-08-08,325279.63618129434
2018-08-09,324989.89778802125
2018-08-10,317408.4098307078
2018-08-13,316490.9049186763
2018-08-14,322333.9625163509
2018-08-15,310599.5575887893
2018-08-16,313448.6517893084
2018-08-17,313400.36205709627
2018-08-20,312772.59553833783
2018-08-21,316008.00759655435
2018-08-22,319678.0272446806
2018-08-23,318084.4660816784
2018-08-24,326921.4870765087
2018-08-27,336772.5924477949
2018-08-28,338269.57414637273
2018-08-29,350100.55853835866
2018-08-30,348120.679517659
2018-08-31,349134.76389411493
2018-09-04,344981.84692386683
2018-09-05,331267.56297560554
2018-09-06,322237.38305192656
2018-09-07,319050.2607259221
2018-09-10,321851.0651942291
2018-09-11,328997.9455616328
2018-09-12,326148.8513611138
2018-09-13,335806.79780355125
2018-09-14,333247.4419963053
2018-09-17,319195.12992255867
2018-09-18,326776.61787987215
2018-09-19,326052.2718966894
2018-09-20,336289.6951256731
2018-09-21,330929.53485012025
2018-09-24,333778.62905063934
2018-09-25,335130.7415525806
2018-09-26,334792.71342709527
2018-09-27,344064.34201183525
2018-09-28,343533.15495750116
2018-10-01,345513.03397820087
2018-10-02,343533.15495750116
2018-10-03,344547.2393339571
2018-10-04,324893.31832359685
2018-10-05,312676.01607391343
2018-10-08,307074.4071372997
2018-10-09,309440.60401569685
2018-10-10,269311.83654736914
2018-10-11,258398.3570674148
2018-10-12,280225.3160273235
2018-10-15,269649.8646728545
2018-10-16,292877.2258669166
2018-10-17,293843.0205111604
2018-10-18,273464.75351761724
2018-10-19,272354.08967673697
2018-10-22,276458.7169147729
2018-10-23,273416.4637854051
2018-10-24,236233.36998202078
2018-10-25,260474.81555253884
2018-10-26,240241.41775563234
2018-10-29,227396.3489871905
2018-10-30,236185.08024980858
2018-10-31,252120.69187983044
2018-11-01,263130.7508242092
2018-11-02,251348.05616443543
2018-11-05,248885.27982161386
2018-11-06,254148.8606327423
2018-11-07,277521.091023441
2018-11-08,272788.69726664666
2018-11-09,258929.54412174886
2018-11-12,236185.08024980858
2018-11-13,236088.5007853842
2018-11-14,230100.57399107298
2018-11-15,242414.45570518076
2018-11-16,239758.52043351045
2018-11-19,216772.60790050926
2018-11-20,204748.4645796746
2018-11-21,209335.98913983238
2018-11-23,204700.1748474624
2018-11-26,218752.48692120894
2018-11-27,221022.10433518174
2018-11-28,241979.84811527107
2018-11-29,239758.52043351045
2018-11-30,244780.65258357793
2018-12-03,257335.98295874667
2018-12-04,229038.19988240485
2018-12-06,232370.19140504577
2018-12-07,209625.72753310553
2018-12-10,216193.131113963
2018-12-11,218511.038260148
2018-12-12,224016.06773233737
2018-12-13,224064.35746454954
2018-12-14,207162.95119028396
2018-12-17,193786.69536750807
2018-12-18,197022.1074257246
2018-12-19,182776.63642312933
2018-12-20,175436.59712687685
2018-12-21,158486.90112039907
2018-12-24,146752.4961928375
2018-12-26,173166.97971290402
2018-12-27,175629.75605572556
2018-12-28,174905.41007254279
2018-12-31,178865.16811394214
2019-01-02,181424.52392118808
2019-01-03,163847.06139595187
2019-01-04,184804.8051760412
2019-01-07,190696.15250592807
2019-01-08,196201.18197811744
2019-01-09,200836.99627048743
2019-01-10,202768.5855589749
2019-01-11,200354.09894836554
2019-01-14,195138.8078694493
2019-01-15,205955.7078849793
2019-01-16,206245.4462782524
