date,equity
2025-08-22,95289.40000000002
2025-08-25,95289.40000000002
2025-08-26,95289.40000000002
2025-08-27,95289.40000000002
2025-08-28,95289.40000000002
2025-08-29,95289.40000000002
2025-09-02,95289.40000000002
2025-09-03,95289.40000000002
2025-09-04,95289.40000000002
2025-09-05,95289.40000000002
2025-09-08,95289.40000000002
2025-09-09,95289.40000000002
2025-09-10,95289.40000000002
2025-09-11,95289.40000000002
2025-09-12,95289.40000000002
2025-09-15,95289.40000000002
2025-09-16,95289.40000000002
2025-09-17,95289.40000000002
2025-09-18,95289.40000000002
2025-09-19,95289.40000000002
2025-09-22,95289.40000000002
2025-09-23,95289.40000000002
2025-09-24,95289.40000000002
2025-09-25,95289.40000000002
2025-09-26,95289.40000000002
2025-09-29,95289.40000000002
2025-09-30,95289.40000000002
2025-10-01,95289.40000000002
2025-10-02,95289.40000000002
2025-10-03,95289.40000000002
2025-10-06,95289.40000000002
2025-10-07,95289.40000000002
2025-10-08,95289.40000000002
2025-10-09,95289.40000000002
2025-10-10,95289.40000000002
2025-10-13,93947.95000000003
2025-10-14,89327.95000000003
2025-10-15,94772.95000000003
2025-10-16,94421.50000000003
2025-10-17,94421.50000000003
2025-10-20,94421.50000000003
2025-10-21,94421.50000000003
2025-10-22,94421.50000000003
2025-10-23,94421.50000000003
2025-10-24,94421.50000000003
2025-10-27,94421.50000000003
2025-10-28,94421.50000000003
2025-10-29,94421.50000000003
2025-10-30,94421.50000000003
2025-10-31,94421.50000000003
2025-11-03,94421.50000000003
2025-11-04,94421.50000000003
2025-11-05,94421.50000000003
2025-11-06,94421.50000000003
2025-11-07,94421.50000000003
2025-11-10,94421.50000000003
2025-11-11,94421.50000000003
2025-11-12,94421.50000000003
2025-11-13,94421.50000000003
2025-11-14,94421.50000000003
2025-11-17,94421.50000000003
2025-11-18,94421.50000000003
2025-11-19,94421.50000000003
2025-11-20,94421.50000000003
2025-11-21,94421.50000000003
2025-11-24,94421.50000000003
2025-11-25,94421.50000000003
2025-11-26,94421.50000000003
2025-11-28,94421.50000000003
2025-12-01,94421.50000000003
2025-12-02,94421.50000000003
2025-12-03,94421.50000000003
2025-12-04,94421.50000000003
2025-12-05,94421.50000000003
2025-12-08,94421.50000000003
2025-12-09,94421.50000000003
2025-12-10,94421.50000000003
2025-12-11,94421.50000000003
2025-12-12,94421.50000000003
2025-12-15,92155.40000000002
2025-12-16,90659.40000000002
2025-12-17,78181.40000000002
2025-12-18,86579.40000000002
2025-12-19,87939.40000000002
2025-12-22,93527.30000000002
2025-12-23,93527.30000000002
2025-12-24,93527.30000000002
2025-12-26,93527.30000000002
2025-12-29,93527.30000000002
2025-12-30,93527.30000000002
2025-12-31,93527.30000000002
2026-01-02,93527.30000000002
2026-01-05,93527.30000000002
2026-01-06,93527.30000000002
2026-01-07,93527.30000000002
2026-01-08,93527.30000000002
2026-01-09,93527.30000000002
2026-01-12,93527.30000000002
2026-01-13,93527.30000000002
2026-01-14,93527.30000000002
2026-01-15,93527.30000000002
2026-01-16,93527.30000000002
2026-01-20,93527.30000000002
2026-01-21,93527.30000000002
2026-01-22,93527.30000000002
2026-01-23,93527.30000000002
2026-01-26,93527.30000000002
2026-01-27,93527.30000000002
2026-01-28,93527.30000000002
2026-01-29,93527.30000000002
2026-01-30,93527.30000000002
2026-02-02,93527.30000000002
2026-02-03,93527.30000000002
2026-02-04,93527.30000000002
2026-02-05,93527.30000000002
2026-02-06,93527.30000000002
2026-02-09,93527.30000000002
2026-02-10,93527.30000000002
2026-02-11,93527.30000000002
2026-02-12,93527.30000000002
2026-02-13,93527.30000000002
2026-02-17,93527.30000000002
2026-02-18,93527.30000000002
2026-02-19,93527.30000000002
2026-02-20,93527.30000000002
2026-02-23,93527.30000000002
2026-02-24,93527.30000000002
2026-02-25,93527.30000000002
2026-02-26,93527.30000000002
2026-02-27,93527.30000000002
2026-03-02,93527.30000000002
2026-03-03,93527.30000000002
2026-03-04,93527.30000000002
2026-03-05,93527.30000000002
2026-03-06,93527.30000000002
2026-03-09,93527.30000000002
2026-03-10,93527.30000000002
2026-03-11,93527.30000000002
2026-03-12,93527.30000000002
2026-03-13,93527.30000000002
2026-03-16,93527.30000000002
2026-03-17,93527.30000000002
2026-03-18,93527.30000000002
2026-03-19,93527.30000000002
2026-03-20,93527.30000000002
2026-03-23,93527.30000000002
2026-03-24,93527.30000000002
2026-03-25,93527.30000000002
2026-03-26,93527.30000000002
2026-03-27,89966.45000000001
2026-03-30,87851.45000000001
2026-03-31,91181.45000000001
2026-04-01,93686.6
2026-04-02,93686.6
2026-04-06,93686.6
2026-04-07,93686.6
2026-04-08,93686.6
2026-04-09,93686.6
2026-04-10,93686.6
2026-04-13,93686.6
2026-04-14,93686.6
2026-04-15,93686.6
2026-04-16,93686.6
2026-04-17,93686.6
2026-04-20,93686.6
2026-04-21,93686.6
2026-04-22,93686.6
2026-04-23,93686.6
2026-04-24,93686.6
2026-04-27,93686.6
2026-04-28,93686.6
2026-04-29,93686.6
2026-04-30,93686.6
2026-05-01,93686.6
2026-05-04,93686.6
2026-05-05,93686.6
2026-05-06,93686.6
2026-05-07,93686.6
2026-05-08,93686.6
2026-05-11,93686.6
2026-05-12,93686.6
2026-05-13,93686.6
2026-05-14,93686.6
2026-05-15,93686.6
2026-05-18,93686.6
2026-05-19,93686.6
2026-05-20,93686.6
2026-05-21,93686.6
2026-05-22,93686.6
2026-05-26,93686.6
2026-05-27,93686.6
2026-05-28,93686.6
2026-05-29,93686.6
2026-06-01,93686.6
2026-06-02,93686.6
2026-06-03,93686.6
2026-06-04,93686.6
2026-06-05,93686.6
2026-06-08,92679.65000000001
2026-06-09,90819.65000000001
2026-06-10,87309.65000000001
2026-06-11,95409.65000000001
2026-06-12,97207.70000000001
2026-06-15,97207.70000000001
2026-06-16,97207.70000000001
2026-06-17,97207.70000000001
2026-06-18,97207.70000000001
2026-06-22,97207.70000000001
2026-06-23,97207.70000000001
2026-06-24,97207.70000000001
2026-06-25,97207.70000000001
2026-06-26,97207.70000000001
2026-06-29,97207.70000000001
2026-06-30,97207.70000000001
2026-07-01,97207.70000000001
2026-07-02,97207.70000000001
2026-07-06,97207.70000000001
2026-07-07,97207.70000000001
2026-07-08,97207.70000000001
2026-07-09,97207.70000000001
2026-07-10,97207.70000000001
2026-07-13,97207.70000000001
2026-07-14,97207.70000000001
2026-07-15,97207.70000000001
2026-07-16,97207.70000000001
2026-07-17,95553.80000000002
2026-07-20,95583.80000000002
2026-07-21,103503.80000000002
2026-07-22,104999.90000000002
2026-07-23,104999.90000000002
2026-07-24,104999.90000000002
2026-07-27,104999.90000000002
2026-07-28,104999.90000000002
2026-07-29,104999.90000000002
2026-07-30,101530.35000000002
2026-07-31,100965.80000000002
2026-08-03,100965.80000000002
2026-08-04,100965.80000000002
2026-08-05,100965.80000000002
2026-08-06,100965.80000000002
2026-08-07,100965.80000000002
2026-08-10,100965.80000000002
2026-08-11,100965.80000000002
2026-08-12,100965.80000000002
2026-08-13,100965.80000000002
2026-08-14,100965.80000000002
2026-08-17,100965.80000000002
2026-08-18,100965.80000000002
2026-08-19,100965.80000000002
2026-08-20,100965.80000000002
2026-08-21,100965.80000000002
2026-08-24,100965.80000000002
2026-08-25,100965.80000000002
2026-08-26,100965.80000000002
2026-08-27,100965.80000000002
2026-08-28,100965.80000000002
2026-08-31,100965.80000000002
2026-09-01,100965.80000000002
2026-09-02,100965.80000000002
2026-09-03,100965.80000000002
