date,open,high,low,close,volume
2019-12-13,17.62,18.195,17.33,17.95,704662
2019-12-16,18.2,18.7,18.06,18.37,882440
2019-12-17,18.25,19.2,17.42,17.61,1186032
2019-12-18,17.55,17.759,17.38,17.39,772398
2019-12-19,17.4,18.15,17.4,18.0,580045
2019-12-20,18.3,18.7,17.8,18.12,4174063
2019-12-23,18.29,18.29,17.28,17.34,981251
2019-12-24,17.46,17.545,17.2,17.35,354499
2019-12-26,17.24,17.55,17.15,17.18,498865
2019-12-27,17.09,17.24,16.635,16.69,790399
2019-12-30,16.7,17.24,16.2,17.21,890513
2019-12-31,17.09,17.26,16.8,17.06,928233
2020-01-02,17.24,17.35,16.8,17.03,706092
2020-01-03,16.96,17.33,16.82,17.17,594403
2020-01-06,17.15,17.95,16.98,17.69,1261809
2020-01-07,17.67,17.849,17.3,17.67,568971
2020-01-08,17.65,18.0,17.5,17.78,543817
2020-01-09,18.12,18.12,17.0,17.02,924376
2020-01-10,17.26,17.64,17.1,17.48,653595
2020-01-13,17.7,18.54,17.63,18.36,840797
2020-01-14,18.52,18.85,18.11,18.7,775592
2020-01-15,18.7,19.3,18.7,18.85,1229327
2020-01-16,19.11,19.2399,18.64,18.96,700445
2020-01-17,19.14,19.3,18.4,18.6,542730
2020-01-21,18.56,18.9,18.0,18.0,636082
2020-01-22,18.19,18.49,17.98,18.05,526465
2020-01-23,18.05,18.18,17.76,18.17,407089
2020-01-24,18.18,18.68,17.72,17.77,648911
2020-01-27,17.34,17.86,17.02,17.82,666353
2020-01-28,17.77,18.1295,17.63,18.08,481617
2020-01-29,18.19,18.27,17.59,17.59,451812
2020-01-30,17.91,18.37,17.662,18.32,595331
2020-01-31,18.31,18.35,17.74,17.86,537810
2020-02-03,18.0,18.19,17.52,17.69,640377
2020-02-04,17.9,18.395,17.7702,17.93,964497
2020-02-05,18.16,18.2938,17.65,18.0,1161752
2020-02-06,18.0,18.05,17.72,17.77,545126
2020-02-07,17.88,18.345,17.8,18.17,595443
2020-02-10,18.23,19.2,18.1,18.34,1358517
2020-02-11,18.41,19.23,18.36,18.37,1455929
2020-02-12,18.55,18.6031,17.55,17.82,1429948
2020-02-13,17.75,18.21,17.72,18.07,1715473
2020-02-14,18.46,18.7,17.22,17.75,4739910
2020-02-18,17.7,17.92,17.2402,17.5,2840130
2020-02-19,17.45,18.23,17.35,18.01,7996744
2020-02-20,18.15,21.35,18.1,20.3,10976178
2020-02-21,20.3,21.35,20.3,21.02,3428297
2020-02-24,19.75,20.48,19.27,19.81,2941188
2020-02-25,19.91,20.44,19.0,20.29,4153977
2020-02-26,20.2,22.69,20.02,22.11,7310726
2020-02-27,20.65,22.52,20.51,21.94,5353652
2020-02-28,21.03,21.79,19.83,21.3,3932458
2020-03-02,21.69,22.08,20.38,22.08,3115414
2020-03-03,22.33,22.4,21.0,22.08,2232096
2020-03-04,22.35,23.42,22.09,22.7,3042514
2020-03-05,22.18,25.02,22.1,23.35,4731104
2020-03-06,22.77,23.29,21.3,22.77,3489462
2020-03-09,21.25,22.2599,20.4,20.74,2971064
2020-03-10,21.53,21.96,19.5313,21.11,2776130
2020-03-11,20.85,21.34,20.0,20.59,1768685
2020-03-12,19.1,19.495,17.8,19.16,2996112
2020-03-13,20.0,20.097,17.6,19.06,2838234
2020-03-16,16.59,17.49,15.05,15.92,3015322
2020-03-17,16.36,18.9,15.87,18.69,3287602
2020-03-18,17.76,20.75,17.41,19.7,3438676
2020-03-19,19.8,23.18,19.44,20.69,2679518
2020-03-20,20.85,22.68,20.52,21.72,2468722
2020-03-23,20.93,22.14,19.53,21.41,2276531
2020-03-24,22.04,22.5,21.21,22.41,2577751
2020-03-25,22.06,23.0,21.23,21.66,2660943
2020-03-26,21.7,22.21,20.83,21.6,2290997
2020-03-27,20.96,22.4854,20.41,21.96,2787387
2020-03-30,22.1,24.09,21.21,23.89,3945254
2020-03-31,24.16,26.28,22.81,23.48,5569399
2020-04-01,22.9,25.86,22.18,24.12,3667820
2020-04-02,23.99,23.99,22.18,23.06,2736941
2020-04-03,22.93,24.2,22.67,24.08,1918131
2020-04-06,24.5,24.51,23.0,23.64,2298602
2020-04-07,24.0,24.1,22.4,22.8,1769884
2020-04-08,23.02,23.2,22.5,22.84,2085877
2020-04-09,23.0,23.08,21.18,21.18,3297803
2020-04-13,21.35,23.84,21.31,23.62,4283394
2020-04-14,23.2,24.0,22.5421,22.91,3257521
2020-04-15,22.91,23.98,22.51,23.89,2231394
2020-04-16,24.0,25.9,23.9,25.42,3912865
2020-04-17,25.0,25.0,23.63,24.83,5107006
2020-04-20,25.0,27.59,24.84,26.18,6178282
2020-04-21,26.25,26.5,23.02,23.94,5186252
2020-04-22,24.66,25.25,24.0,24.61,3104954
2020-04-23,24.58,25.25,23.62,23.73,2432630
2020-04-24,23.42,24.13,23.24,23.28,3522988
2020-04-27,23.91,24.78,23.55,24.47,2338203
2020-04-28,24.5,24.75,23.0,23.47,7241490
2020-04-29,23.47,23.99,22.5,23.78,6896370
2020-04-30,23.82,24.559,23.35,23.56,2474630
2020-05-01,23.17,23.73,22.35,22.84,1911049
2020-05-04,22.88,23.81,22.53,23.67,2041597
2020-05-05,24.41,24.71,23.82,24.51,2035005
2020-05-06,24.7,25.25,24.26,24.95,2177382
2020-05-07,26.81,29.98,26.17,29.52,10519565
2020-05-08,26.76,27.1,25.03,26.26,12462230
2020-05-11,26.38,28.42,26.38,28.12,5761960
2020-05-12,28.12,30.2399,27.636,28.79,10381907
2020-05-13,28.29,28.9,26.82,27.87,7820395
2020-05-14,27.4,28.05,27.2,28.02,3254713
2020-05-15,28.02,30.78,27.82,29.49,9397964
2020-05-18,28.28,29.8,27.7,28.07,4105221
2020-05-19,28.08,29.225,27.9,28.04,2294541
2020-05-20,28.0,28.13,26.52,27.55,5971691
2020-05-21,27.82,28.35,27.17,28.04,4725727
2020-05-22,28.05,28.81,27.51,28.26,3014582
2020-05-26,28.84,29.0,27.51,28.09,6291772
2020-05-27,27.85,28.2,25.85,28.19,6759220
2020-05-28,28.25,28.8,27.92,28.1,2459171
2020-05-29,28.0,29.22,27.94,29.07,4139940
2020-06-01,29.14,30.19,29.01,30.05,2772732
2020-06-02,30.12,30.59,28.93,30.2,3475414
2020-06-03,30.48,30.5,29.28,29.38,3597119
2020-06-04,29.05,29.15,28.13,28.47,3556882
2020-06-05,28.15,29.42,27.29,29.14,2619335
2020-06-08,29.49,29.49,28.345,29.17,2697785
2020-06-09,29.0,29.06,28.14,28.72,3777257
2020-06-10,28.79,29.66,28.52,29.4,4676759
2020-06-11,28.5,29.65,27.9228,28.5,3928645
2020-06-12,29.1,29.51,28.1,28.82,2362048
2020-06-15,29.0,31.92,28.81,30.98,12592197
2020-06-16,31.5,31.98,30.31,31.65,6940426
2020-06-17,32.1,36.0,31.8,35.8,16244332
2020-06-18,36.14,37.29,35.41,36.73,9941909
2020-06-19,37.75,38.48,35.72,36.0,14810649
2020-06-22,36.32,37.4,35.82,37.0,5596483
2020-06-23,37.66,37.66,34.82,35.4,10991650
2020-06-24,35.39,36.77,34.0524,35.0,5203217
2020-06-25,35.42,36.89,34.61,36.0,6054769
2020-06-26,36.0,37.0609,34.82,35.53,12429351
2020-06-29,35.34,35.63,33.2304,35.11,4920933
2020-06-30,35.28,36.04,34.83,35.95,6741482
2020-07-01,35.95,37.04,34.995,36.93,4724536
2020-07-02,37.31,37.35,36.28,36.47,4533308
2020-07-06,37.34,39.24,37.07,38.34,6518192
2020-07-07,38.28,38.39,37.18,37.91,5276142
2020-07-08,38.34,38.52,37.86,38.4,4748314
2020-07-09,39.03,40.155,37.66,39.73,6852245
2020-07-10,42.11,42.5965,39.41,40.08,9081577
2020-07-13,40.75,41.09,36.12,36.75,10564094
2020-07-14,36.68,37.53,34.46,36.75,8081183
2020-07-15,36.21,36.58,35.1201,36.12,4727294
2020-07-16,35.61,35.8381,34.55,35.1,3540074
2020-07-17,36.05,37.45,35.35,37.02,5971360
2020-07-20,37.0,38.6,36.8201,38.37,5154370
2020-07-21,38.98,39.12,37.8101,38.18,3885089
2020-07-22,38.93,39.05,37.81,38.04,2516092
2020-07-23,38.32,38.58,35.92,36.43,3144924
2020-07-24,35.23,36.455,35.0,35.72,3002857
2020-07-27,36.49,37.69,36.16,37.36,2721661
2020-07-28,38.69,38.69,37.58,37.65,4678869
2020-07-29,38.49,39.08,37.82,38.7,2923104
2020-07-30,38.36,41.5,38.36,41.13,5678527
2020-07-31,42.0,42.06,40.21,41.62,5300004
2020-08-03,42.29,42.84,41.86,42.51,6993325
2020-08-04,43.1,43.15,41.28,42.31,4517282
2020-08-05,42.08,42.75,41.56,42.49,3930349
2020-08-06,41.84,42.41,40.0,41.35,8043055
2020-08-07,41.0,45.28,39.6161,40.06,12303393
2020-08-10,39.54,39.54,36.04,36.99,14591225
2020-08-11,36.85,38.15,36.04,37.81,7826772
2020-08-12,38.1,40.07,38.03,38.86,9588723
2020-08-13,39.71,39.71,38.21,38.85,4062681
2020-08-14,38.95,39.79,38.17,38.5,3042362
2020-08-17,37.73,39.94,37.69,39.92,7369897
2020-08-18,40.4,40.47,39.46,40.06,4394841
2020-08-19,39.93,40.25,38.26,39.29,3764708
2020-08-20,39.28,40.444,39.12,40.31,3953482
2020-08-21,40.45,40.49,38.9,38.92,3271742
2020-08-24,38.41,38.8394,37.23,38.09,5468068
2020-08-25,37.7,39.04,37.31,39.03,3490971
2020-08-26,39.3,40.37,38.96,39.9,4522454
2020-08-27,39.75,40.02,38.605,39.73,3035038
2020-08-28,40.2,40.84,39.63,39.65,3069189
2020-08-31,39.7,39.9,38.17,38.26,4318731
2020-09-01,38.94,40.4,38.94,39.74,4987547
2020-09-02,40.2,40.39,37.85,39.0,6208701
2020-09-03,37.85,37.98,35.54,36.23,8940065
2020-09-04,35.14,36.27,32.81,34.77,7996670
2020-09-08,33.06,34.76,32.695,32.94,6522863
2020-09-09,34.03,34.42,33.21,34.01,4669824
2020-09-10,34.49,35.12,33.36,33.58,3854938
2020-09-11,34.01,34.5625,33.72,34.17,6866616
2020-09-14,34.48,35.14,34.15,34.83,4530596
2020-09-15,35.25,36.25,35.07,36.17,6231460
2020-09-16,36.15,36.33,35.47,35.9,5678715
2020-09-17,34.65,36.14,34.53,36.1,4782486
2020-09-18,36.5,37.1809,35.64,37.1,11086431
2020-09-21,36.5,38.97,36.5,38.96,5441107
2020-09-22,39.14,39.97,37.56,39.87,4687492
2020-09-23,39.92,40.6,39.4,39.98,5934260
2020-09-24,39.08,39.58,38.11,38.52,4202398
2020-09-25,38.86,40.14,38.255,40.04,2152289
2020-09-28,40.17,41.05,39.52,40.88,3239903
2020-09-29,41.11,41.5,40.47,40.67,2710807
2020-09-30,40.47,41.77,40.16,41.06,2784260
2020-10-01,41.52,42.54,41.44,42.03,4843475
2020-10-02,41.1,42.58,40.5,41.75,3201422
2020-10-05,42.02,43.1774,41.81,42.86,3869047
2020-10-06,42.7,43.1,41.66,42.23,5647599
2020-10-07,42.9,43.42,42.6,43.38,3614469
2020-10-08,44.52,44.6,42.97,43.41,3333825
2020-10-09,43.66,46.37,43.51,46.35,5628962
2020-10-12,47.12,57.3,47.0,57.01,27061538
2020-10-13,55.2,60.13,54.82,59.73,15590333
2020-10-14,59.5,61.67,58.18,61.5,10422577
2020-10-15,56.0,60.1,54.855,58.78,17118496
2020-10-16,60.34,61.86,58.0,58.29,7940341
2020-10-19,58.56,60.16,57.83,58.27,5002006
2020-10-20,57.8,58.5,56.92,57.06,3320459
2020-10-21,57.55,58.3,54.64,54.98,4510507
2020-10-22,55.0,56.6399,54.21,55.81,3424857
2020-10-23,55.22,56.3838,54.96,55.82,3120079
2020-10-26,55.07,56.57,53.65,54.75,4115949
2020-10-27,56.15,57.75,55.33,55.98,3971771
2020-10-28,55.28,55.85,54.04,54.76,2535224
2020-10-29,54.91,55.5,53.46,54.0,2390987
2020-10-30,53.49,53.765,50.54,51.97,4150709
2020-11-02,52.87,53.22,50.95,52.05,2600251
2020-11-03,51.71,53.18,51.6,53.05,2094613
2020-11-04,55.0,57.0,54.3004,56.12,3494388
2020-11-05,57.5,58.42,56.2578,58.0,4778571
2020-11-06,63.73,71.77,61.7,64.47,16776658
2020-11-09,63.01,66.08,60.52,64.57,8760830
2020-11-10,61.25,64.69,58.34,61.24,6705521
2020-11-11,62.0,66.1399,61.905,65.46,5928688
2020-11-12,64.0,65.08,62.74,64.15,8515693
2020-11-13,64.55,64.75,63.0606,63.77,3386005
2020-11-16,60.39,64.88,60.0,64.54,4896905
2020-11-17,64.0,66.58,63.02,65.96,8617834
2020-11-18,66.75,66.86,64.03,64.48,4101444
2020-11-19,64.95,66.33,64.3,65.89,4198784
2020-11-20,66.0,68.206,65.5,66.55,6270329
2020-11-23,67.0,67.255,64.59,66.09,4664336
2020-11-24,66.2,68.91,65.11,66.69,4488766
2020-11-25,66.74,70.0,66.72,69.99,5163750
2020-11-27,71.0,74.93,70.96,74.76,5107822
2020-11-30,74.15,76.7699,70.1,75.08,17157618
2020-12-01,76.8,76.8,71.17,72.29,5452619
2020-12-02,71.64,71.99,68.83,71.9,3343422
2020-12-03,72.97,75.19,72.33,74.13,3391227
2020-12-04,74.47,77.84,74.04,77.35,4042144
2020-12-07,77.37,82.52,77.31,81.96,4541265
2020-12-08,82.16,84.36,80.9,83.55,4894770
2020-12-09,82.01,82.36,75.73,77.31,6031221
2020-12-10,77.0,86.21,76.37,84.05,8571618
2020-12-11,83.42,83.42,78.81,82.41,5864573
2020-12-14,83.26,84.2,80.97,81.43,4149573
2020-12-15,81.89,83.37,80.421,81.46,5089109
2020-12-16,82.0,82.0,79.6844,81.81,4110382
2020-12-17,82.15,82.49,79.61,81.82,4915101
2020-12-18,82.0,84.2,81.05,83.81,9914278
2020-12-21,85.33,87.2,82.9604,86.21,6874668
2020-12-22,87.0,88.77,84.44,86.56,5599554
2020-12-23,86.55,86.55,81.25,81.9,4847540
2020-12-24,83.96,87.3,82.6337,84.98,2892159
2020-12-28,86.73,86.73,77.49,77.5,7276126
2020-12-29,79.14,80.1199,75.94,76.4,6518143
2020-12-30,77.21,78.35,74.51,77.53,5049079
2020-12-31,77.45,77.79,75.04,75.99,3443653
2021-01-04,77.56,77.7,72.22,74.59,4439620
2021-01-05,73.13,75.9,73.0101,75.14,2864467
2021-01-06,73.0,75.23,71.01,73.27,4467832
2021-01-07,74.4,79.19,74.31,79.02,6191891
2021-01-08,80.16,81.94,77.55,79.15,4574951
2021-01-11,78.0,79.89,76.21,76.5,3381517
2021-01-12,77.0,78.22,75.69,77.82,2964710
2021-01-13,78.58,82.7,77.98,82.48,5643971
2021-01-14,83.32,84.78,79.72,80.51,4372896
2021-01-15,80.86,82.47,77.19,77.85,3380991
2021-01-19,79.35,81.67,79.16,81.44,3019717
2021-01-20,83.0,84.02,81.17,83.51,3509779
2021-01-21,84.15,84.99,82.02,83.02,2987182
2021-01-22,82.5,83.8433,81.81,83.47,2779550
2021-01-25,85.0,87.15,77.6,82.78,5263641
2021-01-26,82.74,82.75,76.91,77.03,4099416
