symbol,strategy,partition,cost_bps_per_side,total_return,cagr,sharpe,max_drawdown,calmar,trades,win_rate,exposure,spec
QQQ,volume,VALIDATION,50,-0.11027824437739142,-0.05693859227048503,-0.9242198330178726,-0.11166595041259064,-0.5099011118438934,7,0.14285714285714285,0.1277445109780439,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,OOS_REUSED,0,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,OOS_REUSED,5,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,OOS_REUSED,10,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,OOS_REUSED,25,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,volume,OOS_REUSED,50,0.0,0.0,,0.0,,0,0.0,0.0,"FMZ458248 defaults ADX14/14, TTI13/26/9, VPCI5/25; exact long-only rules"
QQQ,donchian,IS,0,0.33179017191845017,0.049015666976425454,0.6032232105914325,-0.1381169479533494,0.3548852454586606,12,0.5833333333333334,0.6437086092715232,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,IS,5,0.319128737100306,0.04734343389505269,0.5794539239250602,-0.13876900344554177,0.3411672111173736,12,0.5833333333333334,0.6437086092715232,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,IS,10,0.3065868830587668,0.04567376059248551,0.5610996547688902,-0.1394204177584656,0.32759735859930894,12,0.5833333333333334,0.6437086092715232,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,IS,25,0.2696675673831561,0.04068005204051084,0.5049044762673507,-0.14137082474887275,0.28775422448566573,12,0.5833333333333334,0.6437086092715232,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,IS,50,0.21042368536182687,0.03240796011908875,0.41213661568092724,-0.14851979257420822,0.21820633841039097,12,0.5833333333333334,0.6437086092715232,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,VALIDATION,0,0.1994206565028145,0.09552264410280009,1.1478518936665612,-0.07432956928333145,1.2851230677616912,3,1.0,0.5708582834331337,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,VALIDATION,5,0.19668941790932215,0.09427032525029055,1.1343106637818896,-0.07432956928333123,1.2682748757893199,3,1.0,0.5708582834331337,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,VALIDATION,10,0.19396419028965495,0.09301934222914232,1.1206875432836738,-0.07432956928333134,1.2514446555524736,3,1.0,0.5708582834331337,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,VALIDATION,25,0.18582442921703923,0.08927438733511672,1.0791294354484169,-0.07432956928333123,1.2010615451680942,3,1.0,0.5708582834331337,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,VALIDATION,50,0.17237704185308833,0.08305931885947504,0.9857658690393061,-0.07432956928333134,1.1174465244493401,3,1.0,0.5708582834331337,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,OOS_REUSED,0,0.09179124561054897,0.044919575539956735,0.5721129357536396,-0.09470262516710448,0.47432239033179213,4,0.75,0.6202783300198808,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,OOS_REUSED,5,0.08822586610469685,0.04321085461286023,0.5521152311338091,-0.09584581802207648,0.4508371414067052,4,0.75,0.6202783300198808,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,OOS_REUSED,10,0.08467193540054918,0.04150483450897635,0.5320902283209397,-0.09698763951362366,0.42793942317924183,4,0.75,0.6202783300198808,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,OOS_REUSED,25,0.07407845492281262,0.03640292813103785,0.45879871961306623,-0.10087950452620054,0.3608555404986475,4,0.75,0.6202783300198808,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,donchian,OOS_REUSED,50,0.05664809320559194,0.027953293109028943,0.362050381437593,-0.10876724750089661,0.2570010159427682,4,0.75,0.6202783300198808,"FMZ442343 defaults 50/30, width>3%, 50% TP at +2%; long/cash adaptation"
QQQ,kama,IS,0,0.6864257521996744,0.09120338874836498,0.7337673044341525,-0.2185984812467937,0.41721876670038716,71,0.43661971830985913,0.6490066225165563,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,IS,5,0.5708413127824734,0.07834065696475978,0.6426304921656093,-0.22831634475339313,0.34312329697366317,71,0.4225352112676056,0.6490066225165563,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,IS,10,0.4631787608365232,0.06562954033967561,0.551485365895453,-0.24812154801918795,0.264505605674362,71,0.39436619718309857,0.6490066225165563,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,IS,25,0.18247607684225864,0.028388055121138844,0.2788541223725028,-0.3045393551331198,0.09321637628322257,71,0.3380281690140845,0.6490066225165563,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,IS,50,-0.1708834701765145,-0.030812019989157946,-0.167953193967178,-0.38932034312449904,-0.07914310293131717,71,0.30985915492957744,0.6490066225165563,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,VALIDATION,0,0.27526531024771983,0.12974803001020585,0.888534961606665,-0.12167401537627343,1.0663577560826258,22,0.5,0.6926147704590818,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,VALIDATION,5,0.24751583456227433,0.11734669221849581,0.8146031682899896,-0.12430504503164164,0.9440219597573486,22,0.5,0.6926147704590818,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,VALIDATION,10,0.2203701675708778,0.10508147884108143,0.7406112785886922,-0.12692819473479933,0.8278812998218096,22,0.4090909090909091,0.6926147704590818,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,VALIDATION,25,0.14242593467247344,0.06908766685571632,0.5187726977164336,-0.1362894333410668,0.5069187328912226,22,0.4090909090909091,0.6926147704590818,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,VALIDATION,50,0.02342250755878794,0.011683685717688075,0.15240300692260614,-0.15429033177830254,0.07572532629248725,22,0.4090909090909091,0.6926147704590818,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,OOS_REUSED,0,0.4209599488284623,0.19218368051470502,1.3688816092229834,-0.10007446869499315,1.9204067033365146,30,0.5666666666666667,0.6640159045725647,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,OOS_REUSED,5,0.3789642322444913,0.17442231036128852,1.2578780090704829,-0.10545785601931135,1.653952744206638,30,0.5666666666666667,0.6640159045725647,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,OOS_REUSED,10,0.3382096566861288,0.1569255436605772,1.146487791290901,-0.11080904239204459,1.4161799459052404,30,0.4666666666666667,0.6640159045725647,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,OOS_REUSED,25,0.22303117993846633,0.10598365547869304,0.8112175986879173,-0.12667134220203502,0.8366821858542711,30,0.36666666666666664,0.6640159045725647,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
QQQ,kama,OOS_REUSED,50,0.0526703892323499,0.026015301687098757,0.25598894091246743,-0.15827020839791817,0.16437270128369247,30,0.3333333333333333,0.6640159045725647,FMZ437539 Length21; source close[1] vs current KAMA; long/cash adaptation
TQQQ,gap,IS,0,1.0750696840181604,0.12965935375904292,0.5067102201603719,-0.619595911022594,0.20926437933563896,104,0.5961538461538461,0.49735099337748345,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,IS,5,0.870105276941431,0.11020771711250421,0.46392740352511613,-0.6235693047666319,0.17673691804594033,104,0.5961538461538461,0.49735099337748345,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,IS,10,0.6853860821736819,0.09109100927683511,0.4211312590106952,-0.6275012907305437,0.1451646564276959,104,0.5673076923076923,0.49735099337748345,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,IS,25,0.23367022913701074,0.03569319520910952,0.29272142829278697,-0.6390531038696705,0.05585325381095222,104,0.5480769230769231,0.49735099337748345,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,IS,50,-0.26656326136767605,-0.05045779812111184,0.07898392088162996,-0.6575174509942896,-0.0767398614969233,104,0.5192307692307693,0.49735099337748345,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,VALIDATION,0,1.414680703933775,0.5562782163406339,1.2473661672398775,-0.29483280327029926,1.8867582242218977,36,0.6944444444444444,0.5269461077844312,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,VALIDATION,5,1.329298295922825,0.5284213377835161,1.2050787904308202,-0.29624408612087605,1.7837363260237542,36,0.6666666666666666,0.5269461077844312,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,VALIDATION,10,1.2469349446030682,0.5010630748196336,1.1627700006666257,-0.29835219135331326,1.6794348737538416,36,0.6666666666666666,0.5269461077844312,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,VALIDATION,25,1.0169101057212213,0.42189140115627777,1.035769012453995,-0.3046387102930226,1.3848909770871647,36,0.6666666666666666,0.5269461077844312,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,VALIDATION,50,0.6846605080902168,0.29910761013332277,0.8241733425870809,-0.31499144101999954,0.9495737698927881,36,0.6111111111111112,0.5269461077844312,FMZ436872 defaults 40/20; exact long-only slope rule
TQQQ,gap,OOS_REUSED,0,1.0519053890417616,0.43279998812401965,1.2221031091132575,-0.33086903091804076,1.308070407566274,22,0.4090909090909091,0.4552683896620278,FMZ436872 defaults 40/20; exact long-only slope rule
