entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2023-02-21,2023-02-22,1626,14.11,14.11,91542.653417,1291666.83971,2023-02-23,2023-02-24,14.29,14.29,0.0127569099929,16477.6776151,2,2
2023-03-10,2023-03-13,1639,13.61,13.61,96116.4230219,1308144.51733,2023-03-14,2023-03-15,14.6,14.6,0.0727406318883,95155.2587917,2,2
2023-06-21,2023-06-22,1709,22.28,22.28,62984.7296284,1403299.77612,2023-06-27,2023-06-28,23.18,23.18,0.04039497307,56686.2566655,6,4
2023-07-20,2023-07-21,1729,25.01,25.01,58376.0908751,1459986.03279,2023-07-25,2023-07-26,25.2,25.2,0.00759696121551,11091.4572663,5,3
2023-08-09,2023-08-10,1743,23.66,23.66,62175.7180918,1471077.49005,2023-08-14,2023-08-15,22.62,22.62,-0.043956043956,-64662.7468155,5,3
2023-08-16,2023-08-17,1748,20.62,20.62,68206.3406031,1406414.74324,2023-08-21,2023-08-22,22.71,22.71,0.101357904947,142551.251861,5,3
2023-10-20,2023-10-23,1794,16.35,16.35,94737.9813515,1548965.9951,2023-10-24,2023-10-25,16.375,16.375,0.00152905198777,2368.44953379,2,2
2023-12-20,2023-12-21,1836,29.75,29.75,52145.6956178,1551334.44463,2023-12-21,2023-12-22,30.62,30.62,0.029243697479,45366.7551875,1,1
2024-01-03,2024-01-04,1844,24.96,24.96,63970.4006337,1596701.19982,2024-01-08,2024-01-09,27.5,27.5,0.101762820513,162484.81761,5,3
2024-01-26,2024-01-29,1860,34.23,34.23,51393.1059722,1759186.01743,2024-01-29,2024-01-30,34.56,34.56,0.00964066608238,16959.7249708,1,1
2024-04-04,2024-04-05,1907,42.7,42.7,41595.9190257,1776145.7424,2024-04-09,2024-04-10,43.11,43.11,0.0096018735363,17054.3268006,5,3
2024-05-01,2024-05-02,1926,35.98,35.98,49838.8012562,1793200.0692,2024-05-03,2024-05-06,39.97,39.97,0.110894941634,198856.817012,4,2
2024-06-24,2024-06-25,1962,54.23,54.23,36733.4849016,1992056.88621,2024-07-02,2024-07-03,58.1,58.1,0.0713627143647,142158.586569,8,6
2024-07-17,2024-07-18,1978,54.16,54.16,39405.7509745,2134215.47278,2024-07-22,2024-07-23,50.5,50.5,-0.0675775480059,-144225.048567,5,3
2024-07-24,2024-07-25,1983,41.51,41.51,47940.0246739,1989990.42421,2024-07-26,2024-07-29,43.365,43.365,0.0446880269815,88928.7457701,4,2
2024-07-30,2024-07-31,1987,42.3,42.3,49147.0252951,2078919.16998,2024-07-31,2024-08-01,42.05,42.05,-0.00591016548463,-12286.7563238,1,1
2024-08-02,2024-08-05,1990,23.52,23.52,87867.0243903,2066632.41366,2024-08-08,2024-08-09,30.71,30.71,0.305697278912,631763.905366,4,4
2024-08-22,2024-08-23,2004,39.16,39.16,68906.9540099,2698396.31903,2024-08-30,2024-09-03,36.8,36.8,-0.0602655771195,-162620.411463,11,6
2024-09-03,2024-09-04,2011,29.07,29.07,87229.9933802,2535775.90756,2024-09-10,2024-09-11,28.89,28.89,-0.0061919504644,-15701.3988084,7,5
2024-11-15,2024-11-18,2064,26.7,26.7,94384.813062,2520074.50875,2024-11-19,2024-11-20,27.335,27.335,0.0237827715356,59934.3562944,2,2
2024-12-19,2024-12-20,2087,25.82,25.82,99922.8840066,2580008.86505,2024-12-23,2024-12-24,30.26,30.26,0.171959721146,443657.604989,4,2
2025-03-06,2025-03-07,2137,19.5,19.5,155059.818976,3023666.47004,2025-03-07,2025-03-10,19.34,19.34,-0.00820512820513,-24809.5710362,3,1
2025-04-03,2025-04-04,2157,10.05,10.05,298393.721294,2998856.899,2025-04-09,2025-04-10,10.915,10.915,0.0860696517413,258110.568919,6,4
2025-05-22,2025-05-23,2191,15.21,15.21,214133.298351,3256967.46792,2025-05-27,2025-05-28,17.43,17.43,0.145956607495,475375.92234,5,2
2025-06-13,2025-06-16,2206,20.83,20.83,179181.151717,3732343.39026,2025-06-16,2025-06-17,21.61,21.61,0.0374459913586,139761.298339,1,1
2025-10-10,2025-10-13,2288,38.23,38.23,101284.454319,3872104.6886,2025-10-15,2025-10-16,41.45,41.45,0.0842270468219,326135.942906,3,3
2025-12-12,2025-12-15,2332,43.105,43.105,97395.6764066,4198240.63151,2025-12-19,2025-12-22,44.45,44.45,0.0312028766964,130997.184767,7,5
2026-03-26,2026-03-27,2402,48.035,48.035,90126.7370932,4329237.81627,2026-03-31,2026-04-01,50.04,50.04,0.0417403976267,180704.107872,5,3
2026-06-05,2026-06-08,2451,210.62,210.62,21412.6954902,4509941.92414,2026-06-11,2026-06-12,222.22,222.22,0.0550754914063,248387.267686,4,4
2026-07-16,2026-07-17,2478,124.73,124.73,38149.0354512,4758329.19183,2026-07-21,2026-07-22,147.095,147.095,0.179307303776,853203.177867,5,3
2026-07-29,2026-07-30,2487,107.38,107.38,52258.6363354,5611532.3697,2026-07-30,2026-07-31,129.9,129.9,0.209722480909,1176864.49027,1,1
