entry_signal_date,entry_date,entry_index,entry_reference_open,entry_price,quantity,entry_capital,exit_signal_date,exit_date,exit_reference_open,exit_price,net_return,pnl,holding_calendar_days,holding_sessions
2018-10-10,2018-10-11,529,7.646667,7.654313667,15572.2681358,119195.024818,2018-10-16,2018-10-17,8.532667,8.524134333,0.113637969887,13545.080641,6,4
2018-10-19,2018-10-22,536,7.433333,7.440766333,17839.5745167,132740.105459,2018-10-23,2018-10-24,6.944,6.937056,-0.067696028938,-8985.97802037,2,2
2018-10-24,2018-10-25,539,6.000667,6.006667667,20602.7924798,123754.127438,2018-10-30,2018-10-31,6.766667,6.759900333,0.125399424066,15518.6963066,6,4
2018-11-12,2018-11-13,552,6.267333,6.273600333,22199.8240807,139272.823745,2018-11-15,2018-11-16,6.39,6.38361,0.0175353323707,2442.19525457,3,3
2018-11-19,2018-11-20,557,5.572667,5.578239667,25404.9713636,141715.019,2018-11-26,2018-11-27,6.406,6.399594,0.147242567912,20866.4833092,7,4
2018-12-19,2018-12-20,577,5.240667,5.245907667,30992.0632671,162581.502309,2018-12-26,2018-12-27,4.956667,4.951710333,-0.0560813023551,-9117.78238833,7,4
2019-01-03,2019-01-04,586,4.922,4.926922,31147.9905548,153463.71992,2019-01-04,2019-01-07,5.398667,5.393268333,0.0946526721957,14525.7511756,3,1
2019-03-06,2019-03-07,628,8,8.008,20977.7061808,167989.471096,2019-03-08,2019-03-11,7.988667,7.980678333,-0.00341179657842,-573.145902696,4,2
2019-05-13,2019-05-14,675,9.553333,9.562886333,17506.88227,167416.325193,2019-05-14,2019-05-15,9.522,9.512478,-0.00527124669735,-882.492751258,1,1
2019-05-20,2019-05-21,680,8.466667,8.475133667,19649.6998142,166533.832442,2019-05-21,2019-05-22,7.982,7.974018,-0.0591277597132,-9846.77242876,1,1
2019-06-17,2019-06-18,699,8.144667,8.152811667,19218.7758547,156687.060013,2019-06-18,2019-06-19,9.026667,9.017640333,0.106077351143,16620.9482845,1,1
2019-06-25,2019-06-26,705,9.188667,9.197855667,18842.2187271,173308.008298,2019-06-26,2019-06-27,9.603333,9.593729667,0.0430398143146,7459.14449637,1,1
2019-08-23,2019-08-26,747,9.668667,9.678335667,18677.5039649,180767.152794,2019-08-29,2019-08-30,10.440667,10.430226333,0.0776880128847,14043.4408954,4,4
2019-12-02,2019-12-03,816,13.153333,13.166486333,14795.9439415,194810.59369,2019-12-04,2019-12-05,14.316667,14.302350333,0.0862693334632,16806.1800692,2,2
2020-01-27,2020-01-28,853,18.733333,18.752066333,11284.9842786,211616.773759,2020-01-28,2020-01-29,19.117333,19.098215667,0.0184592635208,3906.28979223,1,1
2020-01-31,2020-02-03,857,16.468,16.484468,13074.3111365,215523.063551,2020-02-04,2020-02-05,19.413333,19.393919667,0.176496546143,38039.0763308,2,2
2020-03-09,2020-03-10,882,11.128,11.139128,22763.1947386,253562.139882,2020-03-10,2020-03-11,10.719333,10.708613667,-0.0386488361567,-9799.88159982,1,1
2020-03-12,2020-03-13,885,8.074,8.082074,30160.8545383,243762.258282,2020-03-13,2020-03-16,5.985333,5.979347667,-0.260171625872,-63420.0230635,3,1
2020-03-16,2020-03-17,887,5.32,5.32532,33865.0513431,180342.235219,2020-03-24,2020-03-25,6.363333,6.356969667,0.193725384953,34936.8689411,8,6
2020-04-01,2020-04-02,899,5.184,5.189184,41486.1188502,215279.10416,2020-04-06,2020-04-07,7.909333,7.901423667,0.5226717085,112520.297175,5,3
2020-04-21,2020-04-22,912,7.495333,7.502828333,43690.1108204,327799.401335,2020-04-22,2020-04-23,8.080667,8.072586333,0.0759390958599,24892.7901608,1,1
2020-05-01,2020-05-04,920,7.208667,7.215875667,48877.254511,352692.191496,2020-05-05,2020-05-06,8.266667,8.258400333,0.144476528437,50955.7434341,2,2
2020-06-11,2020-06-12,948,11.492,11.503492,35089.1655273,403647.93493,2020-06-15,2020-06-16,12.406,12.393594,0.0773766783165,31232.9364142,4,2
2020-09-08,2020-09-09,1009,15.209333,15.224542333,28564.4626835,434880.871344,2020-09-09,2020-09-10,15.85,15.83415,0.0400411160918,17413.1154556,1,1
2020-10-21,2020-10-22,1040,19.726,19.745726,22905.9183136,452293.9868,2020-10-29,2020-10-30,16.895333,16.878437667,-0.145210580406,-65677.8723374,8,6
2021-01-27,2021-01-28,1106,35.000667,35.035667667,11034.9292651,386616.114462,2021-02-01,2021-02-02,39.132667,39.093534333,0.115821017158,44778.2716267,5,3
2021-03-24,2021-03-25,1145,30.93,30.96093,13933.5086539,431394.386089,2021-03-26,2021-03-29,36.3839,36.3475161,0.173980113,75054.0440395,4,2
2021-04-30,2021-05-03,1171,37.72,37.75772,13413.1094284,506448.430128,2021-05-05,2021-05-06,34.2,34.1658,-0.0951307441233,-48178.8160182,3,3
2021-05-10,2021-05-11,1177,29.02,29.04902,15775.7340561,458269.61411,2021-05-14,2021-05-17,30.98,30.94902,0.0654066815335,29973.8947066,6,4
2021-07-16,2021-07-19,1224,35.21,35.24521,13852.7620864,488243.508817,2021-07-20,2021-07-21,38.67,38.63133,0.0960731968968,46907.1147562,2,2
2021-12-13,2021-12-14,1328,60,60.06,8910.26679276,535150.623573,2021-12-15,2021-12-16,69.01,68.94099,0.147868631369,79131.9902838,2,2
2021-12-31,2022-01-03,1341,69.05,69.11905,8887.31274311,614282.613857,2022-01-03,2022-01-04,72.58,72.50742,0.0490222304849,30113.5038794,1,1
2022-01-05,2022-01-06,1344,64.0899,64.1539899,10044.5212954,644396.117736,2022-01-11,2022-01-12,64.99,64.92501,0.0120182719922,7744.52781364,6,4
2022-01-20,2022-01-21,1354,45.22,45.26522,14407.1020874,652140.64555,2022-01-24,2022-01-25,41.7699,41.7281301,-0.0781414494395,-50959.2152817,4,2
2022-01-27,2022-01-28,1359,36.37,36.40637,16513.0835694,601181.430268,2022-01-31,2022-02-01,45.89,45.84411,0.259233205618,155846.189326,4,2
2022-02-11,2022-02-14,1370,39.75,39.78975,19025.6942955,757027.619594,2022-02-15,2022-02-16,44.07,44.02593,0.106464101936,80596.2656607,2,2
2022-02-23,2022-02-24,1377,31.81,31.84181,26305.7874303,837623.885255,2022-02-24,2022-02-25,40,39.96,0.254953785605,213555.380459,1,1
2022-03-07,2022-03-08,1385,29.67,29.69967,35393.6345324,1051179.26571,2022-03-09,2022-03-10,33.07,33.03693,0.112366905087,118117.76078,2,2
2022-03-14,2022-03-15,1390,28.45,28.47845,41059.0122178,1169297.02649,2022-03-15,2022-03-16,33.04,33.00696,0.159015325623,185936.147418,1,1
2022-03-31,2022-04-01,1403,39.07,39.10907,34652.6566321,1355233.17391,2022-04-04,2022-04-05,37.09,37.05291,-0.0525750164859,-71251.4064607,4,2
2022-04-05,2022-04-06,1406,30.85,30.88085,41578.5759605,1283981.76745,2022-04-13,2022-04-14,28.55,28.52145,-0.0764033373434,-98100.4921213,8,6
2022-04-22,2022-04-25,1418,23.89,23.91389,49589.6433131,1185881.27533,2022-04-28,2022-04-29,24.3,24.2757,0.0151297007722,17942.0288471,4,4
2022-05-09,2022-05-10,1429,21.45,21.47145,56066.2323307,1203823.30418,2022-05-13,2022-05-16,21.86,21.83814,0.0170780268682,20558.9267333,6,4
2022-08-22,2022-08-23,1501,17.08,17.09708,71613.5287961,1224382.23091,2022-08-25,2022-08-26,19.25,19.23075,0.124797333814,152799.637986,3,3
