wr_entry,cci_entry,adx_entry,start,end,sessions,total_return,cagr,sharpe,sortino,annual_volatility,max_drawdown,calmar,trades,win_rate,profit_factor_return,profit_factor_dollar,avg_trade,median_trade,avg_holding_calendar_days,avg_holding_sessions,close_position_fraction,exposed_return_days,ending_equity,open_position_at_end,sum_cost_dollars,worst_day
-90,-100,15,2016-09-06,2022-09-02,1510,4.61454354673,0.333959698739,0.88909618117,1.46415564554,0.423941501968,-0.461273483307,0.72399500692,52,0.711538461538,3.00784857254,2.92352043671,0.0434445616498,0.0385754183288,3.73076923077,2.55769230769,0.0907284768212,0.125165562914,561454.354673,True,27116.3576162,-0.309650412125
-90,-100,20,2016-09-06,2022-09-02,1510,3.29992712554,0.275833747198,0.813990966114,1.33355140931,0.393330151367,-0.447321441805,0.61663430683,41,0.707317073171,3.06535657873,3.07672956598,0.0479702555497,0.0430398143146,3.70731707317,2.56097560976,0.0721854304636,0.0993377483444,429992.712554,True,17691.2662125,-0.309650412125
-90,-80,10,2016-09-06,2022-09-02,1510,7.01449444726,0.415650326002,0.971768881122,1.60598273731,0.469229405389,-0.492060950604,0.844713089895,65,0.723076923077,2.69061330827,2.40637788447,0.0421944380411,0.0400411160918,3.83076923077,2.66153846154,0.117218543046,0.160264900662,801449.444726,True,43056.8473787,-0.309650412125
-90,-80,15,2016-09-06,2022-09-02,1510,10.4147522374,0.501782563822,1.12204335115,1.92094480054,0.451557806456,-0.461273483307,1.08782009368,59,0.728813559322,3.54337006135,3.73162534525,0.0514208750971,0.0471149619518,3.64406779661,2.52542372881,0.101324503311,0.140397350993,1141475.22374,True,47724.8634367,-0.309650412125
-90,-80,20,2016-09-06,2022-09-02,1510,7.35284427306,0.425460521372,1.04449819268,1.78942082288,0.423680012193,-0.447321441805,0.951129281115,48,0.729166666667,3.63658204028,4.13829801789,0.0560255919479,0.0481486902547,3.5625,2.52083333333,0.0827814569536,0.114569536424,835284.427306,True,30207.4341354,-0.309650412125
-90,-60,10,2016-09-06,2022-09-02,1510,13.7368270807,0.567237032685,1.17118394753,1.94655114446,0.48103954982,-0.492060950604,1.15277798815,75,0.76,2.90068408005,2.8102015131,0.0456841023856,0.0472751500245,3.76,2.57333333333,0.131125827815,0.180794701987,1473682.70807,True,70507.6349994,-0.309650412125
-90,-60,15,2016-09-06,2022-09-02,1510,16.6670017479,0.615430103865,1.26511224982,2.16726271096,0.461973894504,-0.461273483307,1.33419788073,68,0.764705882353,3.57017748806,3.89089642818,0.0519038185588,0.0484108323891,3.61764705882,2.45588235294,0.113907284768,0.158940397351,1766700.17479,True,73697.4820476,-0.309650412125
-90,-60,20,2016-09-06,2022-09-02,1510,10.2225961831,0.497530479238,1.14392032616,1.95674546389,0.43379991761,-0.447321441805,1.11224375302,55,0.763636363636,3.52825297032,4.15921094307,0.0551786237976,0.0563273044665,3.58181818182,2.47272727273,0.0933774834437,0.129801324503,1122259.61831,True,41504.2689118,-0.309650412125
-85,-100,10,2016-09-06,2022-09-02,1510,2.78983593155,0.249209172193,0.711236326841,1.10934337958,0.462216460503,-0.492060950604,0.506459965756,71,0.69014084507,2.07318315638,1.7130192862,0.0273846568896,0.0185455967484,3.97183098592,2.74647887324,0.13178807947,0.17880794702,378983.593155,True,32848.1867078,-0.309650412125
-85,-100,15,2016-09-06,2022-09-02,1510,4.62123565942,0.33422510884,0.8684556479,1.39502408312,0.445064597846,-0.461273483307,0.724570392479,65,0.676923076923,2.63796934773,2.33752614601,0.0350706357312,0.0217349892984,3.76923076923,2.63076923077,0.115894039735,0.158940397351,562123.565942,True,36529.8992013,-0.309650412125
-85,-100,20,2016-09-06,2022-09-02,1510,4.12340708836,0.313721004607,0.862164252184,1.3958177677,0.416013770366,-0.447321441805,0.701332364799,53,0.716981132075,2.9086301945,2.68977820834,0.0407487330593,0.0400411160918,3.64150943396,2.56603773585,0.0927152317881,0.127814569536,512340.708836,True,26620.7974031,-0.309650412125
