start,end,sessions,total_return,cagr,sharpe,sortino,annual_volatility,max_drawdown,calmar,trades,win_rate,profit_factor_return,profit_factor_dollar,avg_trade,median_trade,avg_holding_calendar_days,avg_holding_sessions,close_position_fraction,exposed_return_days,ending_equity,open_position_at_end,sum_cost_dollars,worst_day,period,mode,cost_bps_per_side,source
2022-09-06,2024-09-03,501,1.32689331753,0.527629384129,0.923411519685,1.39106700849,1.00213226996,-0.617728531856,0.854144429016,0,,,,,,,,1,1,232689.331753,True,99.9000999001,-0.224800206239,VALIDATION,BUY_HOLD,10,Tradier
2024-09-04,2026-09-04,503,1.69372863238,0.641815315893,1.13414583492,2.69826852199,0.554142279672,-0.23964945388,2.67814220104,12,0.916666666667,129.97851025,173.043375719,0.088190434359,0.0696512691141,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,269372.863238,False,0,-0.145262333594,OOS_REUSED,LOCAL_WARMUP,0,Tradier
2024-09-04,2026-09-04,503,1.66159706112,0.631987210029,1.12342842572,2.6662702757,0.554033574781,-0.240409424441,2.62879548711,12,0.916666666667,114.656467279,151.887983232,0.087102787748,0.0685821524033,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,266159.706112,False,1872.98949988,-0.145689702428,OOS_REUSED,LOCAL_WARMUP,5,Tradier
2024-09-04,2026-09-04,503,1.62984874872,0.622217931531,1.11270154743,2.63439519126,0.553930237418,-0.24116863579,2.5800118224,12,0.916666666667,102.32732387,134.884072301,0.086016227697,0.0675141037412,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,262984.874872,False,3720.42739934,-0.146117071261,OOS_REUSED,LOCAL_WARMUP,10,Tradier
2024-09-04,2026-09-04,503,1.53685777197,0.593259502025,1.08046718803,2.53951473833,0.553652377684,-0.24344172593,2.43696720337,12,0.916666666667,76.5152479032,99.3723496989,0.0827630506465,0.0643163500661,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,253685.777197,False,9112.68302614,-0.14739917776,OOS_REUSED,LOCAL_WARMUP,25,Tradier
2024-09-04,2026-09-04,503,1.38912058587,0.546139120291,1.02658279852,2.38388139317,0.553296115623,-0.247215130956,2.20916542681,12,0.916666666667,52.3647059057,66.3517953406,0.077362668843,0.059007972904,3.83333333333,2.58333333333,0.0616302186879,0.0854870775348,238912.058587,False,17618.4866111,-0.149536021926,OOS_REUSED,LOCAL_WARMUP,50,Tradier
2024-09-04,2026-09-04,503,3.03036935545,1.00853652578,1.18496060461,1.74625308751,1.24863705266,-0.797893189613,1.2639994161,0,,,,,,,,1,1,403036.935545,True,99.9000999001,-0.305138941759,OOS_REUSED,BUY_HOLD,10,Tradier
2016-09-06,2026-09-04,2514,66.8839685997,0.525113572053,1.12812074414,2.09462168082,0.465889874744,-0.459114260955,1.14375356357,97,0.721649484536,3.73604410918,5.5323285024,0.0496439547564,0.0417403976267,3.9175257732,2.69072164948,0.103818615752,0.142402545744,6788396.85997,False,0,-0.308959371496,FULL_CONTINUOUS,LOCAL_WARMUP,0,Tradier
2016-09-06,2026-09-04,2514,60.6085029248,0.510381451964,1.10742997244,2.05030558001,0.465778264543,-0.460194951472,1.10905486975,97,0.721649484536,3.64037736616,5.28623430108,0.0485948353613,0.040699177839,3.9175257732,2.69072164948,0.103818615752,0.142402545744,6160850.29248,False,107587.179747,-0.309304891811,FULL_CONTINUOUS,LOCAL_WARMUP,5,Tradier
2016-09-06,2026-09-04,2514,54.9131636946,0.495791632287,1.0867167484,2.00619562254,0.465676571619,-0.461273483307,1.07483228547,97,0.711340206186,3.54680433218,5.05202250625,0.0475467640376,0.0396589982309,3.9175257732,2.69072164948,0.103818615752,0.142402545744,5591316.36946,False,199823.990224,-0.309650412125,FULL_CONTINUOUS,LOCAL_WARMUP,10,Tradier
